"acetylsalicylic acid",".",".",".",".",".",".",".",".",".",".",".","2.34 (1.68-3.25)",".",".","1.04 (0.61-1.79)",".","."
"0.99 (0.71-1.38)","almotriptan",".",".",".",".",".",".",".",".",".",".","2.65 (2.12-3.32)",".",".","0.70 (0.55-0.89)",".","0.82 (0.65-1.05)"
"1.50 (1.01-2.23)","1.52 (1.13-2.04)","celecoxib",".",".",".",".",".",".",".",".",".","1.77 (1.37-2.28)",".",".",".",".","."
"0.89 (0.55-1.44)","0.90 (0.60-1.34)","0.59 (0.38-0.93)","diclofenac potassium",".",".",".",".",".",".",".",".","2.99 (2.06-4.36)",".",".",".",".","."
"0.50 (0.36-0.69)","0.50 (0.42-0.60)","0.33 (0.25-0.44)","0.56 (0.38-0.83)","eletriptan",".",".",".",".","2.04 (1.29-3.22)",".",".","5.77 (4.84-6.88)",".",".","1.58 (1.34-1.86)",".","1.54 (1.19-2.01)"
"0.96 (0.62-1.47)","0.97 (0.70-1.34)","0.64 (0.43-0.95)","1.08 (0.67-1.75)","1.93 (1.40-2.65)","frovatriptan",".",".",".",".",".",".","4.59 (3.09-6.81)",".",".","0.45 (0.30-0.67)",".","."
"1.37 (0.92-2.05)","1.39 (1.03-1.87)","0.91 (0.63-1.32)","1.55 (0.98-2.44)","2.76 (2.07-3.69)","1.43 (0.96-2.13)","ibuprofen",".",".",".",".",".","1.94 (1.49-2.51)",".",".",".",".","."
"1.21 (0.86-1.69)","1.22 (1.00-1.50)","0.81 (0.60-1.08)","1.36 (0.91-2.04)","2.44 (2.02-2.94)","1.26 (0.91-1.76)","0.88 (0.66-1.19)","lasmiditan",".",".",".",".","2.19 (1.91-2.53)",".",".",".",".","."
"1.14 (0.79-1.64)","1.15 (0.90-1.47)","0.76 (0.54-1.06)","1.28 (0.83-1.97)","2.29 (1.81-2.90)","1.19 (0.83-1.71)","0.83 (0.59-1.16)","0.94 (0.73-1.21)","naproxen sodium",".",".",".","2.17 (1.67-2.82)",".",".","0.65 (0.52-0.81)",".","."
"1.58 (1.09-2.28)","1.60 (1.24-2.05)","1.05 (0.76-1.46)","1.78 (1.16-2.74)","3.18 (2.54-3.99)","1.65 (1.15-2.37)","1.15 (0.82-1.61)","1.31 (1.01-1.68)","1.39 (1.04-1.86)","naratriptan",".",".","1.96 (1.45-2.64)",".","0.32 (0.21-0.49)","0.37 (0.26-0.54)",".","."
"1.30 (0.79-2.13)","1.31 (0.87-1.99)","0.87 (0.54-1.38)","1.46 (0.85-2.52)","2.62 (1.74-3.94)","1.36 (0.83-2.22)","0.95 (0.59-1.52)","1.07 (0.71-1.63)","1.14 (0.73-1.78)","0.82 (0.53-1.28)","paracetamol",".","2.02 (1.34-3.04)",".","0.54 (0.22-1.33)",".",".","."
"1.10 (0.51-2.35)","1.11 (0.55-2.27)","0.73 (0.35-1.54)","1.24 (0.56-2.74)","2.22 (1.09-4.50)","1.15 (0.54-2.45)","0.80 (0.38-1.69)","0.91 (0.45-1.85)","0.97 (0.47-2.00)","0.70 (0.34-1.44)","0.85 (0.38-1.88)","phenazone","2.41 (1.20-4.84)",".",".",".",".","."
"2.65 (1.95-3.60)","2.68 (2.32-3.11)","1.77 (1.37-2.28)","2.99 (2.06-4.36)","5.35 (4.74-6.04)","2.77 (2.06-3.74)","1.94 (1.49-2.51)","2.19 (1.91-2.53)","2.33 (1.89-2.88)","1.68 (1.36-2.07)","2.04 (1.38-3.02)","2.41 (1.20-4.84)","placebo","0.53 (0.46-0.62)","0.22 (0.19-0.26)","0.28 (0.25-0.30)","0.52 (0.42-0.65)","0.26 (0.22-0.31)"
"1.39 (0.99-1.96)","1.41 (1.14-1.74)","0.93 (0.69-1.25)","1.57 (1.05-2.35)","2.81 (2.31-3.40)","1.46 (1.04-2.04)","1.02 (0.75-1.37)","1.15 (0.94-1.42)","1.22 (0.95-1.58)","0.88 (0.68-1.14)","1.07 (0.71-1.63)","1.27 (0.62-2.58)","0.52 (0.45-0.61)","rimegepant",".","0.89 (0.49-1.63)",".","."
"0.64 (0.46-0.89)","0.65 (0.54-0.77)","0.43 (0.32-0.56)","0.72 (0.49-1.07)","1.29 (1.10-1.51)","0.67 (0.49-0.92)","0.47 (0.35-0.62)","0.53 (0.44-0.63)","0.56 (0.45-0.71)","0.41 (0.32-0.51)","0.49 (0.33-0.74)","0.58 (0.29-1.18)","0.24 (0.21-0.27)","0.46 (0.38-0.56)","rizatriptan","1.01 (0.84-1.23)",".","1.35 (0.97-1.88)"
"0.73 (0.53-0.99)","0.74 (0.64-0.85)","0.49 (0.37-0.63)","0.82 (0.56-1.21)","1.47 (1.30-1.66)","0.76 (0.56-1.03)","0.53 (0.40-0.70)","0.60 (0.51-0.71)","0.64 (0.52-0.79)","0.46 (0.37-0.57)","0.56 (0.38-0.84)","0.66 (0.33-1.33)","0.27 (0.25-0.30)","0.52 (0.44-0.62)","1.14 (1.01-1.29)","sumatriptan",".","1.07 (0.90-1.26)"
"1.39 (0.95-2.03)","1.40 (1.07-1.83)","0.92 (0.66-1.30)","1.57 (1.01-2.42)","2.80 (2.17-3.61)","1.45 (1.00-2.11)","1.01 (0.72-1.43)","1.15 (0.88-1.49)","1.22 (0.90-1.66)","0.88 (0.65-1.19)","1.07 (0.68-1.68)","1.26 (0.61-2.62)","0.52 (0.42-0.65)","1.00 (0.76-1.30)","2.17 (1.69-2.79)","1.90 (1.50-2.41)","ubrogepant","."
"0.77 (0.56-1.06)","0.78 (0.67-0.91)","0.51 (0.39-0.68)","0.87 (0.59-1.28)","1.55 (1.35-1.78)","0.80 (0.59-1.10)","0.56 (0.42-0.74)","0.64 (0.53-0.76)","0.68 (0.54-0.85)","0.49 (0.39-0.61)","0.59 (0.39-0.89)","0.70 (0.35-1.41)","0.29 (0.26-0.32)","0.55 (0.46-0.67)","1.20 (1.04-1.39)","1.05 (0.95-1.18)","0.55 (0.43-0.71)","zolmitriptan"
