"Comparison","Number of studies","Within-study bias","Reporting bias","Indirectness","Imprecision","Heterogeneity","Incoherence","Confidence rating","Reason(s) for downgrading"
"almotriptan:placebo",5,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","Moderate","[]"
"almotriptan:sumatriptan",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Low","[]"
"almotriptan:zolmitriptan",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Low","[]"
"celecoxib:placebo",2,"Some concerns","Low risk","No concerns","No concerns","Major concerns","Major concerns","Very low","[]"
"diclofenac potassium:placebo",1,"Some concerns","Low risk","No concerns","No concerns","No concerns","Major concerns","Low","[]"
"eletriptan:naratriptan",1,"Some concerns","Low risk","No concerns","No concerns","No concerns","Some concerns","Low","[]"
"eletriptan:placebo",7,"Some concerns","High risk","No concerns","No concerns","No concerns","No concerns","Low","[]"
"eletriptan:sumatriptan",1,"Some concerns","High risk","No concerns","No concerns","Major concerns","Major concerns","Very low","[]"
"eletriptan:zolmitriptan",1,"Some concerns","High risk","No concerns","No concerns","Major concerns","No concerns","Very low","[]"
"ibuprofen:placebo",1,"Some concerns","Some concerns","No concerns","No concerns","No concerns","Major concerns","Very low","[]"
"lasmiditan:placebo",4,"Major concerns","Low risk","Some concerns","No concerns","No concerns","Major concerns","High","[]"
"naproxen sodium:placebo",4,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","Moderate","[]"
"naproxen sodium:sumatriptan",3,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","No concerns","Low","[]"
"naratriptan:placebo",1,"Some concerns","Some concerns","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"paracetamol:placebo",2,"Some concerns","Some concerns","Some concerns","Major concerns","No concerns","No concerns","Very low","[]"
"paracetamol:rizatriptan",1,"Some concerns","Some concerns","Some concerns","Major concerns","No concerns","No concerns","Very low","[]"
"placebo:rimegepant",5,"No concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"placebo:rizatriptan",8,"Some concerns","Some concerns","Some concerns","No concerns","No concerns","No concerns","Low","[]"
"placebo:sumatriptan",17,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","Moderate","[]"
"placebo:ubrogepant",4,"Some concerns","Low risk","Some concerns","No concerns","No concerns","Major concerns","Very low","[]"
"placebo:zolmitriptan",3,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","Moderate","[]"
"rimegepant:sumatriptan",1,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Low","[]"
"rizatriptan:zolmitriptan",1,"Some concerns","Some concerns","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"sumatriptan:zolmitriptan",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Low","[]"
"almotriptan:celecoxib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"almotriptan:diclofenac potassium",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"almotriptan:eletriptan",0,"Some concerns","High risk","No concerns","No concerns","Major concerns","Major concerns","Very low","[]"
"almotriptan:ibuprofen",0,"Some concerns","High risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"almotriptan:lasmiditan",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"almotriptan:naproxen sodium",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"almotriptan:naratriptan",0,"Some concerns","High risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"almotriptan:paracetamol",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"almotriptan:rimegepant",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"almotriptan:rizatriptan",0,"Some concerns","High risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"almotriptan:ubrogepant",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"celecoxib:diclofenac potassium",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"celecoxib:eletriptan",0,"Some concerns","High risk","No concerns","No concerns","No concerns","Major concerns","Very low","[]"
"celecoxib:ibuprofen",0,"Some concerns","High risk","No concerns","No concerns","No concerns","Major concerns","Very low","[]"
"celecoxib:lasmiditan",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"celecoxib:naproxen sodium",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"celecoxib:naratriptan",0,"Some concerns","High risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"celecoxib:paracetamol",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"celecoxib:rimegepant",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"celecoxib:rizatriptan",0,"Some concerns","High risk","No concerns","No concerns","Major concerns","Major concerns","Very low","[]"
"celecoxib:sumatriptan",0,"Some concerns","Low risk","No concerns","No concerns","Major concerns","Major concerns","Very low","[]"
"celecoxib:ubrogepant",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"celecoxib:zolmitriptan",0,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","Major concerns","Very low","[]"
"diclofenac potassium:eletriptan",0,"Some concerns","High risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"diclofenac potassium:ibuprofen",0,"Some concerns","High risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"diclofenac potassium:lasmiditan",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"diclofenac potassium:naproxen sodium",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"diclofenac potassium:naratriptan",0,"Some concerns","High risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"diclofenac potassium:paracetamol",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"diclofenac potassium:rimegepant",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"diclofenac potassium:rizatriptan",0,"Some concerns","High risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"diclofenac potassium:sumatriptan",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"diclofenac potassium:ubrogepant",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"diclofenac potassium:zolmitriptan",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"eletriptan:ibuprofen",0,"Some concerns","Some concerns","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"eletriptan:lasmiditan",0,"Some concerns","High risk","No concerns","No concerns","Some concerns","Major concerns","Very low","[]"
"eletriptan:naproxen sodium",0,"Some concerns","High risk","No concerns","No concerns","Some concerns","Major concerns","Very low","[]"
"eletriptan:paracetamol",0,"Some concerns","High risk","Some concerns","No concerns","Major concerns","Major concerns","Very low","[]"
"eletriptan:rimegepant",0,"Some concerns","High risk","No concerns","No concerns","Major concerns","Major concerns","Very low","[]"
"eletriptan:rizatriptan",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"eletriptan:ubrogepant",0,"Some concerns","High risk","Some concerns","No concerns","No concerns","Major concerns","Very low","[]"
"ibuprofen:lasmiditan",0,"Some concerns","High risk","No concerns","No concerns","Some concerns","Major concerns","Very low","[]"
