"almotriptan",".",".",".",".",".",".",".",".","2.76 (2.14- 3.56)",".",".","0.82 (0.52- 1.29)",".","0.86 (0.67- 1.10)"
"1.50 (1.04- 2.17)","celecoxib",".",".",".",".",".",".",".","1.71 (1.25- 2.35)",".",".",".",".","."
"0.89 (0.53- 1.49)","0.59 (0.33- 1.05)","diclofenac potassium",".",".",".",".",".",".","2.90 (1.79- 4.70)",".",".",".",".","."
"0.57 (0.44- 0.73)","0.38 (0.26- 0.55)","0.64 (0.38- 1.09)","eletriptan",".",".",".","2.12 (1.20- 3.72)",".","3.94 (3.01- 5.15)",".",".","2.55 (1.71- 3.81)",".","1.55 (1.13- 2.13)"
"0.34 (0.13- 0.90)","0.23 (0.08- 0.62)","0.38 (0.13- 1.12)","0.59 (0.22- 1.58)","ibuprofen",".",".",".",".","7.58 (2.91-19.74)",".",".",".",".","."
"1.24 (0.95- 1.60)","0.82 (0.57- 1.18)","1.40 (0.83- 2.34)","2.17 (1.66- 2.83)","3.65 (1.38- 9.67)","lasmiditan",".",".",".","2.07 (1.74- 2.48)",".",".",".",".","."
"1.22 (0.90- 1.66)","0.81 (0.54- 1.22)","1.38 (0.80- 2.38)","2.14 (1.57- 2.92)","3.61 (1.34- 9.71)","0.99 (0.73- 1.35)","naproxen sodium",".",".","1.87 (1.39- 2.52)",".",".","0.73 (0.55- 0.95)",".","."
"1.47 (0.82- 2.63)","0.98 (0.51- 1.86)","1.66 (0.79- 3.48)","2.57 (1.49- 4.43)","4.33 (1.43-13.15)","1.19 (0.66- 2.14)","1.20 (0.65- 2.21)","naratriptan",".","0.92 (0.42- 1.98)",".",".",".",".","."
"1.53 (0.66- 3.54)","1.02 (0.43- 2.45)","1.73 (0.67- 4.47)","2.69 (1.16- 6.22)","4.53 (1.29-15.93)","1.24 (0.54- 2.86)","1.25 (0.53- 2.95)","1.04 (0.39- 2.81)","paracetamol","1.63 (0.62- 4.29)",".","0.65 (0.22- 1.88)",".",".","."
"2.57 (2.12- 3.10)","1.71 (1.25- 2.35)","2.90 (1.79- 4.70)","4.50 (3.69- 5.49)","7.58 (2.91-19.74)","2.07 (1.74- 2.48)","2.10 (1.63- 2.70)","1.75 (1.00- 3.07)","1.68 (0.74- 3.79)","placebo","0.43 (0.36- 0.52)","0.33 (0.26- 0.41)","0.31 (0.27- 0.36)","0.53 (0.41- 0.69)","0.25 (0.17- 0.37)"
"1.10 (0.85- 1.43)","0.74 (0.51- 1.06)","1.25 (0.74- 2.09)","1.94 (1.48- 2.53)","3.26 (1.23- 8.65)","0.89 (0.69- 1.15)","0.90 (0.66- 1.23)","0.75 (0.42- 1.36)","0.72 (0.31- 1.66)","0.43 (0.36- 0.52)","rimegepant",".","1.14 (0.60- 2.17)",".","."
"0.81 (0.62- 1.05)","0.54 (0.37- 0.78)","0.91 (0.54- 1.54)","1.42 (1.08- 1.86)","2.39 (0.90- 6.36)","0.65 (0.50- 0.86)","0.66 (0.48- 0.91)","0.55 (0.30- 1.00)","0.53 (0.23- 1.20)","0.32 (0.26- 0.39)","0.73 (0.56- 0.96)","rizatriptan",".",".","1.52 (1.06- 2.19)"
"0.85 (0.70- 1.04)","0.57 (0.41- 0.80)","0.96 (0.58- 1.59)","1.50 (1.22- 1.84)","2.52 (0.96- 6.62)","0.69 (0.55- 0.86)","0.70 (0.55- 0.89)","0.58 (0.33- 1.03)","0.56 (0.24- 1.27)","0.33 (0.29- 0.38)","0.77 (0.62- 0.96)","1.05 (0.84- 1.32)","sumatriptan",".","1.12 (0.89- 1.42)"
"1.36 (0.98- 1.88)","0.91 (0.60- 1.37)","1.53 (0.88- 2.66)","2.38 (1.71- 3.32)","4.01 (1.49-10.83)","1.10 (0.80- 1.51)","1.11 (0.77- 1.60)","0.93 (0.50- 1.72)","0.89 (0.38- 2.09)","0.53 (0.41- 0.69)","1.23 (0.89- 1.69)","1.68 (1.20- 2.34)","1.59 (1.19- 2.13)","ubrogepant","."
"0.91 (0.76- 1.11)","0.61 (0.43- 0.87)","1.03 (0.62- 1.72)","1.60 (1.30- 1.98)","2.70 (1.02- 7.13)","0.74 (0.58- 0.94)","0.75 (0.56- 1.00)","0.62 (0.35- 1.10)","0.60 (0.26- 1.37)","0.36 (0.30- 0.42)","0.83 (0.65- 1.06)","1.13 (0.90- 1.42)","1.07 (0.91- 1.26)","0.67 (0.49- 0.92)","zolmitriptan"
