"acetylsalicylic acid",".",".",".",".",".",".",".",".",".","0.97 (0.53- 1.76)",".",".","."
"1.11 (0.45- 2.73)","almotriptan",".",".",".",".",".",".",".",".","0.88 (0.44- 1.73)",".",".","."
"0.83 (0.37- 1.86)","0.75 (0.31- 1.79)","diclofenac potassium",".",".",".",".",".",".",".","1.17 (0.68- 2.01)",".",".","."
"1.11 (0.53- 2.33)","1.01 (0.45- 2.25)","1.34 (0.67- 2.68)","frovatriptan",".",".",".",".",".",".","0.62 (0.32- 1.20)",".","1.06 (0.62- 1.82)","."
"0.95 (0.45- 2.01)","0.86 (0.38- 1.94)","1.14 (0.56- 2.31)","0.85 (0.45- 1.59)","ibuprofen",".",".",".",".",".","1.02 (0.65- 1.61)",".",".","."
"0.89 (0.47- 1.71)","0.81 (0.39- 1.67)","1.08 (0.59- 1.96)","0.80 (0.49- 1.32)","0.94 (0.56- 1.59)","lasmiditan",".",".",".",".","1.08 (0.84- 1.39)",".",".","."
"0.83 (0.40- 1.71)","0.75 (0.34- 1.65)","1.00 (0.50- 1.96)","0.74 (0.41- 1.33)","0.87 (0.47- 1.61)","0.92 (0.57- 1.49)","naproxen sodium",".",".",".","1.10 (0.70- 1.72)",".","1.27 (0.73- 2.20)","."
"2.90 (0.11-77.75)","2.63 (0.10-71.41)","3.50 (0.13-92.74)","2.61 (0.10-68.00)","3.07 (0.12-80.17)","3.25 (0.13-83.04)","3.51 (0.14-91.38)","naratriptan",".",".","0.33 (0.01- 8.44)",".",".","."
"1.00 (0.38- 2.60)","0.90 (0.33- 2.48)","1.20 (0.47- 3.03)","0.89 (0.38- 2.13)","1.05 (0.44- 2.53)","1.11 (0.50- 2.46)","1.21 (0.51- 2.84)","0.34 (0.01- 9.47)","paracetamol",".","0.97 (0.46- 2.06)",".",".","."
"1.18 (0.43- 3.25)","1.07 (0.37- 3.09)","1.43 (0.54- 3.79)","1.06 (0.42- 2.67)","1.25 (0.49- 3.17)","1.32 (0.57- 3.10)","1.43 (0.58- 3.56)","0.41 (0.01-11.42)","1.19 (0.39- 3.60)","phenazone","0.82 (0.36- 1.84)",".",".","."
"0.97 (0.53- 1.76)","0.88 (0.44- 1.73)","1.17 (0.68- 2.01)","0.87 (0.56- 1.34)","1.02 (0.65- 1.61)","1.08 (0.84- 1.39)","1.17 (0.78- 1.77)","0.33 (0.01- 8.44)","0.97 (0.46- 2.06)","0.82 (0.36- 1.84)","placebo","0.94 (0.66- 1.34)","0.90 (0.74- 1.10)","1.19 (0.56- 2.54)"
"1.07 (0.55- 2.08)","0.96 (0.46- 2.02)","1.28 (0.69- 2.38)","0.96 (0.58- 1.58)","1.13 (0.66- 1.93)","1.19 (0.81- 1.75)","1.29 (0.79- 2.11)","0.37 (0.01- 9.42)","1.07 (0.48- 2.40)","0.90 (0.38- 2.14)","1.10 (0.82- 1.48)","rizatriptan","0.85 (0.59- 1.21)","."
"0.94 (0.50- 1.76)","0.85 (0.42- 1.72)","1.13 (0.64- 2.01)","0.84 (0.55- 1.29)","0.99 (0.60- 1.62)","1.05 (0.76- 1.44)","1.13 (0.74- 1.73)","0.32 (0.01- 8.22)","0.94 (0.43- 2.04)","0.79 (0.34- 1.82)","0.97 (0.80- 1.17)","0.88 (0.66- 1.18)","sumatriptan","."
"1.16 (0.44- 3.03)","1.05 (0.38- 2.89)","1.39 (0.55- 3.53)","1.04 (0.44- 2.48)","1.22 (0.51- 2.94)","1.29 (0.58- 2.86)","1.40 (0.59- 3.30)","0.40 (0.01-11.00)","1.16 (0.40- 3.37)","0.98 (0.32- 2.96)","1.19 (0.56- 2.54)","1.08 (0.48- 2.44)","1.23 (0.57- 2.69)","zolmitriptan"
