"almotriptan",".",".",".",".",".",".",".","0.78 (0.45- 1.36)",".",".","0.77 (0.51- 1.17)",".","2.00 (0.50- 8.05)"
"0.76 (0.46- 1.27)","diclofenac potassium",".",".",".",".",".",".","1.12 (0.76- 1.66)",".",".",".",".","."
"0.64 (0.44- 0.95)","0.84 (0.54- 1.31)","eletriptan",".",".",".",".",".","1.60 (1.17- 2.19)",".",".","0.87 (0.60- 1.26)",".","1.28 (0.95- 1.73)"
"1.04 (0.68- 1.58)","1.36 (0.85- 2.18)","1.62 (1.15- 2.27)","frovatriptan",".",".",".",".","0.64 (0.45- 0.90)",".",".","1.06 (0.72- 1.58)",".","."
"0.79 (0.55- 1.13)","1.03 (0.68- 1.57)","1.23 (0.95- 1.59)","0.76 (0.56- 1.03)","lasmiditan",".",".",".","1.09 (0.95- 1.25)",".",".",".",".","."
"0.76 (0.48- 1.21)","1.00 (0.60- 1.67)","1.19 (0.81- 1.76)","0.74 (0.48- 1.12)","0.97 (0.68- 1.39)","naproxen sodium",".",".","1.06 (0.73- 1.55)",".","1.00 (0.05-18.30)","1.10 (0.75- 1.61)",".","."
"0.74 (0.45- 1.22)","0.97 (0.57- 1.67)","1.16 (0.76- 1.77)","0.72 (0.45- 1.12)","0.94 (0.63- 1.40)","0.97 (0.59- 1.59)","naratriptan",".","0.88 (0.58- 1.34)",".","0.67 (0.13- 3.42)","2.02 (1.14- 3.58)",".","."
"1.78 (0.58- 5.45)","2.33 (0.75- 7.29)","2.77 (0.93- 8.26)","1.71 (0.57- 5.16)","2.26 (0.77- 6.63)","2.33 (0.76- 7.13)","2.40 (0.77- 7.43)","paracetamol","0.36 (0.12- 1.11)",".","1.00 (0.27- 3.70)",".",".","."
"0.86 (0.62- 1.19)","1.12 (0.76- 1.66)","1.34 (1.08- 1.66)","0.83 (0.63- 1.08)","1.09 (0.95- 1.25)","1.12 (0.81- 1.56)","1.15 (0.80- 1.67)","0.48 (0.17- 1.40)","placebo","1.65 (0.60- 4.53)","0.92 (0.70- 1.20)","0.94 (0.84- 1.06)","0.67 (0.41- 1.12)","0.83 (0.69- 0.98)"
"1.45 (0.52- 4.06)","1.90 (0.67- 5.44)","2.26 (0.83- 6.13)","1.40 (0.51- 3.84)","1.84 (0.69- 4.92)","1.90 (0.68- 5.31)","1.95 (0.69- 5.54)","0.82 (0.19- 3.47)","1.69 (0.64- 4.49)","rimegepant",".","0.52 (0.17- 1.55)",".","."
"0.98 (0.68- 1.42)","1.28 (0.83- 1.98)","1.53 (1.16- 2.01)","0.94 (0.69- 1.29)","1.24 (0.98- 1.57)","1.28 (0.89- 1.85)","1.32 (0.88- 1.98)","0.55 (0.19- 1.61)","1.14 (0.95- 1.38)","0.67 (0.25- 1.82)","rizatriptan","0.77 (0.63- 0.95)",".","0.48 (0.18- 1.31)"
"0.79 (0.57- 1.10)","1.04 (0.69- 1.56)","1.23 (0.99- 1.54)","0.76 (0.58- 1.00)","1.00 (0.84- 1.19)","1.04 (0.74- 1.44)","1.07 (0.73- 1.55)","0.45 (0.15- 1.30)","0.92 (0.83- 1.03)","0.55 (0.21- 1.45)","0.81 (0.68- 0.97)","sumatriptan",".","1.22 (0.93- 1.61)"
"0.58 (0.32- 1.06)","0.76 (0.40- 1.43)","0.90 (0.52- 1.56)","0.56 (0.31- 0.98)","0.73 (0.43- 1.23)","0.76 (0.41- 1.38)","0.78 (0.42- 1.45)","0.32 (0.10- 1.06)","0.67 (0.41- 1.12)","0.40 (0.13- 1.19)","0.59 (0.34- 1.01)","0.73 (0.44- 1.22)","ubrogepant","."
"0.78 (0.55- 1.11)","1.02 (0.67- 1.55)","1.21 (0.97- 1.51)","0.75 (0.56- 1.01)","0.99 (0.81- 1.21)","1.02 (0.71- 1.45)","1.05 (0.71- 1.56)","0.44 (0.15- 1.29)","0.91 (0.78- 1.05)","0.54 (0.20- 1.44)","0.79 (0.63- 0.99)","0.98 (0.84- 1.15)","1.35 (0.80- 2.28)","zolmitriptan"
