"almotriptan",".",".",".",".",".",".",".","0.78 (0.39- 1.57)",".",".","0.77 (0.42- 1.39)",".","2.00 (0.47- 8.58)"
"0.78 (0.38- 1.62)","diclofenac potassium",".",".",".",".",".",".","1.12 (0.63- 2.00)",".",".",".",".","."
"0.62 (0.36- 1.06)","0.79 (0.41- 1.54)","eletriptan",".",".",".",".",".","1.64 (1.09- 2.46)",".",".","0.96 (0.57- 1.60)",".","1.28 (0.76- 2.15)"
"1.11 (0.63- 1.95)","1.41 (0.71- 2.80)","1.78 (1.10- 2.88)","frovatriptan",".",".",".",".","0.64 (0.40- 1.01)",".",".","1.06 (0.59- 1.90)",".","."
"0.77 (0.46- 1.27)","0.98 (0.52- 1.83)","1.23 (0.82- 1.85)","0.69 (0.45- 1.08)","lasmiditan",".",".",".","1.15 (0.90- 1.47)",".",".",".",".","."
"0.78 (0.41- 1.47)","0.99 (0.47- 2.09)","1.25 (0.71- 2.20)","0.70 (0.39- 1.26)","1.01 (0.60- 1.72)","naproxen sodium",".",".","1.07 (0.62- 1.85)",".","1.00 (0.05-18.88)","1.13 (0.66- 1.94)",".","."
"0.79 (0.42- 1.47)","1.01 (0.48- 2.09)","1.27 (0.73- 2.20)","0.71 (0.40- 1.27)","1.03 (0.62- 1.72)","1.01 (0.53- 1.93)","naratriptan",".","0.88 (0.53- 1.47)",".","0.67 (0.12- 3.61)","1.92 (0.95- 3.88)",".","."
"1.78 (0.53- 6.02)","2.28 (0.64- 8.14)","2.87 (0.88- 9.34)","1.61 (0.49- 5.31)","2.33 (0.73- 7.43)","2.29 (0.67- 7.82)","2.26 (0.67- 7.65)","paracetamol","0.36 (0.11- 1.20)",".","1.00 (0.25- 3.96)",".",".","."
"0.88 (0.57- 1.37)","1.12 (0.63- 2.00)","1.42 (1.02- 1.96)","0.80 (0.55- 1.15)","1.15 (0.90- 1.47)","1.13 (0.71- 1.81)","1.12 (0.71- 1.75)","0.49 (0.16- 1.53)","placebo","1.65 (0.55- 4.93)","0.90 (0.65- 1.24)","0.94 (0.80- 1.11)","0.67 (0.35- 1.30)","0.83 (0.65- 1.06)"
"1.50 (0.49- 4.65)","1.92 (0.58- 6.33)","2.42 (0.81- 7.20)","1.36 (0.45- 4.10)","1.96 (0.67- 5.73)","1.93 (0.62- 6.05)","1.91 (0.61- 5.93)","0.84 (0.18- 3.94)","1.71 (0.60- 4.85)","rimegepant",".","0.52 (0.16- 1.68)",".","."
"0.99 (0.60- 1.63)","1.27 (0.67- 2.38)","1.59 (1.07- 2.38)","0.90 (0.58- 1.38)","1.29 (0.91- 1.84)","1.28 (0.76- 2.14)","1.26 (0.76- 2.07)","0.56 (0.18- 1.74)","1.13 (0.88- 1.45)","0.66 (0.23- 1.92)","rizatriptan","0.77 (0.56- 1.05)",".","0.48 (0.16- 1.42)"
"0.83 (0.53- 1.28)","1.05 (0.58- 1.91)","1.33 (0.95- 1.86)","0.75 (0.51- 1.08)","1.08 (0.81- 1.43)","1.06 (0.67- 1.70)","1.05 (0.66- 1.66)","0.46 (0.15- 1.45)","0.94 (0.81- 1.09)","0.55 (0.19- 1.57)","0.83 (0.65- 1.07)","sumatriptan",".","1.22 (0.74- 2.02)"
"0.59 (0.27- 1.31)","0.76 (0.32- 1.82)","0.95 (0.46- 1.99)","0.54 (0.25- 1.14)","0.77 (0.38- 1.56)","0.76 (0.34- 1.71)","0.75 (0.34- 1.67)","0.33 (0.09- 1.24)","0.67 (0.35- 1.30)","0.39 (0.11- 1.36)","0.60 (0.30- 1.21)","0.72 (0.37- 1.41)","ubrogepant","."
"0.77 (0.48- 1.24)","0.98 (0.53- 1.82)","1.24 (0.87- 1.75)","0.70 (0.46- 1.06)","1.00 (0.72- 1.39)","0.99 (0.59- 1.65)","0.97 (0.59- 1.60)","0.43 (0.14- 1.37)","0.87 (0.70- 1.09)","0.51 (0.18- 1.48)","0.78 (0.56- 1.07)","0.93 (0.73- 1.19)","1.30 (0.65- 2.60)","zolmitriptan"
