"acetylsalicylic acid",".",".",".",".",".",".",".","0.97 (0.60-1.56)",".",".",".","."
"0.97 (0.54-1.76)","almotriptan",".",".",".",".",".",".","0.82 (0.47-1.43)",".",".","1.06 (0.69-1.62)","."
"0.90 (0.48-1.66)","0.92 (0.55-1.55)","diclofenac potassium",".",".",".",".",".","1.08 (0.73-1.58)",".",".",".","."
"0.89 (0.36-2.23)","0.92 (0.39-2.16)","1.00 (0.42-2.38)","eletriptan",".",".",".",".","1.08 (0.50-2.36)",".",".",".","."
"0.92 (0.55-1.51)","0.94 (0.64-1.37)","1.02 (0.68-1.54)","1.03 (0.46-2.27)","lasmiditan",".",".",".","1.06 (0.91-1.22)",".",".",".","."
"0.83 (0.46-1.48)","0.85 (0.53-1.36)","0.92 (0.56-1.53)","0.93 (0.40-2.17)","0.91 (0.63-1.30)","naproxen sodium",".",".","1.08 (0.74-1.56)",".",".","1.21 (0.82-1.77)","."
"1.09 (0.49-2.46)","1.12 (0.54-2.36)","1.22 (0.57-2.60)","1.22 (0.44-3.39)","1.19 (0.61-2.33)","1.32 (0.63-2.74)","naratriptan",".","0.88 (0.46-1.70)",".",".",".","."
"1.04 (0.43-2.49)","1.07 (0.47-2.40)","1.16 (0.50-2.65)","1.16 (0.40-3.39)","1.13 (0.54-2.40)","1.25 (0.56-2.80)","0.95 (0.35-2.54)","phenazone","0.93 (0.45-1.94)",".",".",".","."
"0.97 (0.60-1.56)","0.99 (0.70-1.41)","1.08 (0.73-1.58)","1.08 (0.50-2.36)","1.06 (0.91-1.22)","1.17 (0.84-1.62)","0.88 (0.46-1.70)","0.93 (0.45-1.94)","placebo","1.65 (0.60-4.53)","1.10 (0.82-1.49)","0.92 (0.80-1.06)","1.21 (0.29-4.97)"
"1.54 (0.52-4.57)","1.58 (0.56-4.45)","1.71 (0.60-4.91)","1.72 (0.49-6.02)","1.68 (0.62-4.52)","1.85 (0.66-5.20)","1.41 (0.43-4.56)","1.48 (0.44-5.04)","1.59 (0.60-4.23)","rimegepant",".","0.65 (0.21-2.00)","."
"1.14 (0.66-1.95)","1.17 (0.77-1.76)","1.27 (0.80-2.00)","1.27 (0.56-2.88)","1.24 (0.93-1.65)","1.37 (0.92-2.05)","1.04 (0.52-2.09)","1.10 (0.50-2.38)","1.18 (0.92-1.50)","0.74 (0.27-2.02)","rizatriptan","0.81 (0.59-1.11)","."
"0.92 (0.56-1.51)","0.95 (0.67-1.33)","1.02 (0.68-1.54)","1.03 (0.47-2.27)","1.00 (0.82-1.23)","1.11 (0.80-1.54)","0.84 (0.43-1.64)","0.89 (0.42-1.87)","0.95 (0.83-1.09)","0.60 (0.22-1.60)","0.81 (0.63-1.04)","sumatriptan","."
"1.16 (0.26-5.20)","1.20 (0.28-5.15)","1.30 (0.30-5.64)","1.30 (0.26-6.58)","1.27 (0.31-5.29)","1.41 (0.33-6.02)","1.07 (0.22-5.07)","1.12 (0.23-5.54)","1.21 (0.29-4.97)","0.76 (0.14-4.25)","1.03 (0.24-4.32)","1.27 (0.31-5.26)","ubrogepant"
