"acetylsalicylic acid",".",".",".",".",".",".",".",".",".",".","1.06 (0.66- 1.70)",".",".",".",".","."
"1.10 (0.62-1.95)","almotriptan",".",".",".",".",".",".",".",".",".","0.76 (0.45- 1.31)",".",".","0.99 (0.66- 1.47)",".","0.53 (0.21- 1.34)"
"1.14 (0.62-2.09)","1.03 (0.64-1.68)","celecoxib",".",".",".",".",".",".",".",".","0.93 (0.64- 1.35)",".",".",".",".","."
"0.98 (0.54-1.81)","0.89 (0.55-1.45)","0.86 (0.51-1.47)","diclofenac potassium",".",".",".",".",".",".",".","1.07 (0.74- 1.57)",".",".",".",".","."
"0.75 (0.45-1.24)","0.68 (0.48-0.96)","0.66 (0.43-0.99)","0.76 (0.50-1.15)","eletriptan",".",".",".",".","1.60 (0.94- 2.71)",".","1.47 (1.17- 1.85)",".",".","0.99 (0.71- 1.38)",".","1.18 (0.88- 1.57)"
"1.20 (0.70-2.05)","1.09 (0.74-1.60)","1.05 (0.67-1.65)","1.22 (0.78-1.91)","1.61 (1.19-2.16)","frovatriptan",".",".",".",".",".","0.64 (0.46- 0.89)",".",".","1.13 (0.80- 1.61)",".","."
"1.15 (0.67-1.96)","1.04 (0.70-1.54)","1.01 (0.65-1.57)","1.17 (0.74-1.82)","1.54 (1.14-2.07)","0.96 (0.68-1.35)","ibuprofen",".",".",".",".","0.92 (0.73- 1.17)",".",".",".",".","."
"0.44 (0.27-0.73)","0.40 (0.29-0.56)","0.39 (0.26-0.58)","0.45 (0.30-0.67)","0.59 (0.48-0.73)","0.37 (0.28-0.49)","0.39 (0.30-0.51)","lasmiditan",".",".",".","2.38 (2.11- 2.69)",".",".",".",".","."
"0.99 (0.59-1.68)","0.90 (0.62-1.31)","0.87 (0.57-1.34)","1.01 (0.65-1.56)","1.33 (1.01-1.75)","0.83 (0.60-1.14)","0.87 (0.63-1.20)","2.24 (1.75-2.87)","naproxen sodium",".",".","1.07 (0.84- 1.37)",".","1.00 (0.05-18.30)","0.94 (0.73- 1.22)",".","."
"1.25 (0.69-2.29)","1.14 (0.71-1.83)","1.10 (0.65-1.86)","1.27 (0.75-2.16)","1.68 (1.15-2.45)","1.05 (0.67-1.62)","1.09 (0.71-1.69)","2.83 (1.92-4.16)","1.26 (0.83-1.93)","naratriptan",".","0.78 (0.51- 1.18)",".","0.58 (0.19- 1.79)","2.89 (0.14-60.78)",".","."
"1.28 (0.62-2.65)","1.16 (0.62-2.17)","1.13 (0.58-2.18)","1.30 (0.67-2.53)","1.72 (0.97-3.04)","1.07 (0.59-1.94)","1.12 (0.62-2.03)","2.89 (1.65-5.06)","1.29 (0.72-2.32)","1.02 (0.53-1.97)","paracetamol","0.77 (0.44- 1.34)",".","1.00 (0.32- 3.11)",".",".","."
"1.06 (0.66-1.70)","0.96 (0.70-1.31)","0.93 (0.64-1.35)","1.07 (0.74-1.57)","1.42 (1.19-1.69)","0.88 (0.69-1.13)","0.92 (0.73-1.17)","2.38 (2.11-2.69)","1.06 (0.86-1.32)","0.84 (0.58-1.21)","0.82 (0.48-1.42)","placebo","0.92 (0.64- 1.33)","0.81 (0.69- 0.95)","0.85 (0.77- 0.95)","0.77 (0.58- 1.02)","0.72 (0.61- 0.86)"
"0.97 (0.53-1.78)","0.88 (0.55-1.42)","0.85 (0.51-1.44)","0.99 (0.58-1.67)","1.30 (0.87-1.95)","0.81 (0.52-1.26)","0.85 (0.55-1.31)","2.19 (1.49-3.23)","0.98 (0.64-1.50)","0.78 (0.46-1.30)","0.76 (0.39-1.46)","0.92 (0.64-1.33)","rimegepant",".","0.70 (0.24- 2.00)",".","."
"0.93 (0.57-1.52)","0.84 (0.61-1.17)","0.82 (0.55-1.21)","0.94 (0.63-1.41)","1.24 (1.01-1.54)","0.77 (0.59-1.02)","0.81 (0.62-1.06)","2.10 (1.75-2.51)","0.94 (0.73-1.20)","0.74 (0.50-1.09)","0.72 (0.42-1.26)","0.88 (0.77-1.00)","0.95 (0.65-1.41)","rizatriptan","0.96 (0.80- 1.14)",".","0.81 (0.40- 1.65)"
"0.94 (0.58-1.53)","0.85 (0.63-1.16)","0.83 (0.56-1.22)","0.96 (0.65-1.41)","1.26 (1.05-1.52)","0.79 (0.61-1.00)","0.82 (0.63-1.06)","2.12 (1.82-2.48)","0.95 (0.76-1.18)","0.75 (0.52-1.09)","0.73 (0.42-1.28)","0.89 (0.81-0.98)","0.97 (0.66-1.41)","1.01 (0.89-1.16)","sumatriptan",".","."
"0.81 (0.47-1.41)","0.74 (0.49-1.12)","0.71 (0.45-1.14)","0.82 (0.52-1.32)","1.09 (0.78-1.51)","0.68 (0.47-0.98)","0.71 (0.49-1.02)","1.83 (1.35-2.48)","0.82 (0.57-1.16)","0.65 (0.41-1.03)","0.63 (0.34-1.17)","0.77 (0.58-1.02)","0.83 (0.53-1.32)","0.87 (0.64-1.19)","0.86 (0.64-1.16)","ubrogepant","."
"0.79 (0.48-1.30)","0.71 (0.51-1.00)","0.69 (0.46-1.03)","0.80 (0.53-1.20)","1.05 (0.86-1.28)","0.65 (0.49-0.87)","0.68 (0.52-0.91)","1.77 (1.46-2.15)","0.79 (0.61-1.03)","0.63 (0.42-0.92)","0.61 (0.35-1.08)","0.74 (0.64-0.87)","0.81 (0.54-1.20)","0.85 (0.69-1.03)","0.83 (0.70-0.99)","0.97 (0.70-1.33)","zolmitriptan"
