"acetylsalicylic acid",".",".",".",".",".",".",".",".",".",".","1.03 (0.63- 1.67)",".",".",".","."
"1.27 (0.62- 2.60)","almotriptan",".",".",".",".",".",".",".",".",".","0.92 (0.53- 1.62)",".",".",".","0.25 (0.05- 1.16)"
"0.97 (0.52- 1.81)","0.77 (0.40- 1.48)","diclofenac potassium",".",".",".",".",".",".",".",".","1.06 (0.72- 1.55)",".",".",".","."
"0.21 (0.05- 0.81)","0.16 (0.04- 0.65)","0.21 (0.06- 0.81)","eletriptan",".",".",".",".",".",".",".","5.00 (1.38-18.07)",".",".",".","."
"0.80 (0.42- 1.52)","0.63 (0.32- 1.24)","0.82 (0.47- 1.45)","3.90 (1.01-15.05)","frovatriptan",".",".",".",".",".",".",".",".","1.16 (0.77- 1.72)",".","."
"1.01 (0.56- 1.82)","0.80 (0.43- 1.49)","1.04 (0.63- 1.72)","4.92 (1.30-18.52)","1.26 (0.74- 2.14)","ibuprofen",".",".",".",".",".","1.02 (0.73- 1.41)",".",".",".","."
"0.95 (0.57- 1.57)","0.75 (0.43- 1.29)","0.97 (0.65- 1.47)","4.61 (1.27-16.79)","1.18 (0.76- 1.83)","0.94 (0.66- 1.34)","lasmiditan",".",".",".",".","1.08 (0.94- 1.25)",".",".",".","."
"0.99 (0.58- 1.69)","0.78 (0.44- 1.39)","1.02 (0.65- 1.59)","4.82 (1.31-17.76)","1.24 (0.78- 1.96)","0.98 (0.66- 1.46)","1.04 (0.80- 1.36)","naproxen sodium",".",".",".","1.08 (0.84- 1.40)",".","0.92 (0.71- 1.20)",".","."
"0.96 (0.44- 2.10)","0.75 (0.33- 1.70)","0.98 (0.48- 2.03)","4.65 (1.12-19.35)","1.19 (0.57- 2.51)","0.95 (0.47- 1.91)","1.01 (0.54- 1.90)","0.97 (0.50- 1.86)","naratriptan",".",".","1.09 (0.58- 2.07)",".","0.95 (0.12- 7.33)",".","."
"0.76 (0.29- 1.98)","0.60 (0.23- 1.60)","0.78 (0.31- 1.94)","3.70 (0.80-17.02)","0.95 (0.38- 2.38)","0.75 (0.31- 1.83)","0.80 (0.35- 1.85)","0.77 (0.33- 1.80)","0.79 (0.28- 2.23)","paracetamol",".","1.18 (0.49- 2.87)","1.40 (0.45- 4.39)",".",".","."
"1.10 (0.46- 2.66)","0.87 (0.35- 2.15)","1.13 (0.49- 2.60)","5.36 (1.22-23.57)","1.38 (0.59- 3.20)","1.09 (0.49- 2.44)","1.16 (0.55- 2.46)","1.11 (0.52- 2.40)","1.15 (0.44- 3.01)","1.45 (0.48- 4.38)","phenazone","0.93 (0.45- 1.94)",".",".",".","."
"1.03 (0.63- 1.67)","0.81 (0.48- 1.38)","1.06 (0.72- 1.55)","5.00 (1.38-18.07)","1.28 (0.85- 1.94)","1.02 (0.73- 1.41)","1.08 (0.94- 1.25)","1.04 (0.83- 1.30)","1.07 (0.58- 1.99)","1.35 (0.59- 3.09)","0.93 (0.45- 1.94)","placebo","0.95 (0.80- 1.14)","0.87 (0.77- 0.99)","0.81 (0.63- 1.04)","0.83 (0.66- 1.05)"
"0.98 (0.59- 1.64)","0.78 (0.45- 1.35)","1.01 (0.67- 1.53)","4.80 (1.32-17.49)","1.23 (0.80- 1.89)","0.98 (0.68- 1.40)","1.04 (0.85- 1.28)","1.00 (0.77- 1.29)","1.03 (0.55- 1.94)","1.30 (0.57- 2.98)","0.89 (0.42- 1.89)","0.96 (0.83- 1.11)","rizatriptan","0.96 (0.79- 1.18)",".","."
"0.92 (0.56- 1.53)","0.73 (0.42- 1.26)","0.95 (0.64- 1.42)","4.50 (1.24-16.37)","1.16 (0.77- 1.72)","0.92 (0.65- 1.30)","0.98 (0.81- 1.17)","0.93 (0.74- 1.18)","0.97 (0.52- 1.81)","1.22 (0.53- 2.80)","0.84 (0.40- 1.77)","0.90 (0.80- 1.01)","0.94 (0.80- 1.10)","sumatriptan",".","."
"0.83 (0.48- 1.44)","0.66 (0.37- 1.18)","0.86 (0.54- 1.35)","4.05 (1.09-15.00)","1.04 (0.64- 1.69)","0.82 (0.55- 1.24)","0.88 (0.66- 1.17)","0.84 (0.60- 1.18)","0.87 (0.45- 1.69)","1.10 (0.46- 2.59)","0.76 (0.35- 1.64)","0.81 (0.63- 1.04)","0.84 (0.63- 1.13)","0.90 (0.68- 1.18)","ubrogepant","."
"0.83 (0.49- 1.43)","0.66 (0.37- 1.16)","0.86 (0.55- 1.34)","4.06 (1.10-14.98)","1.04 (0.65- 1.68)","0.83 (0.55- 1.24)","0.88 (0.67- 1.15)","0.84 (0.61- 1.17)","0.87 (0.45- 1.69)","1.10 (0.47- 2.59)","0.76 (0.35- 1.64)","0.81 (0.64- 1.02)","0.85 (0.64- 1.12)","0.90 (0.69- 1.17)","1.00 (0.71- 1.41)","zolmitriptan"
