"acetylsalicylic acid",".",".",".",".",".",".",".",".",".",".","1.03 (0.63- 1.67)",".",".",".","."
"1.27 (0.62- 2.60)","almotriptan",".",".",".",".",".",".",".",".",".","0.92 (0.53- 1.62)",".",".",".","0.25 (0.05- 1.16)"
"0.97 (0.52- 1.81)","0.77 (0.40- 1.48)","diclofenac potassium",".",".",".",".",".",".",".",".","1.06 (0.72- 1.55)",".",".",".","."
"0.16 (0.04- 0.73)","0.13 (0.03- 0.58)","0.16 (0.04- 0.73)","eletriptan",".",".",".",".",".",".",".","6.41 (1.53-26.80)",".",".",".","."
"0.79 (0.42- 1.50)","0.62 (0.32- 1.22)","0.81 (0.46- 1.43)","4.93 (1.11-21.90)","frovatriptan",".",".",".",".",".",".",".",".","1.16 (0.77- 1.72)",".","."
"1.01 (0.56- 1.82)","0.80 (0.43- 1.49)","1.04 (0.63- 1.72)","6.30 (1.45-27.36)","1.28 (0.75- 2.17)","ibuprofen",".",".",".",".",".","1.02 (0.73- 1.41)",".",".",".","."
"0.95 (0.57- 1.57)","0.75 (0.43- 1.29)","0.97 (0.65- 1.46)","5.90 (1.40-24.84)","1.20 (0.77- 1.86)","0.94 (0.65- 1.34)","lasmiditan",".",".",".",".","1.09 (0.94- 1.25)",".",".",".","."
"0.98 (0.57- 1.67)","0.77 (0.43- 1.37)","1.00 (0.64- 1.57)","6.09 (1.43-25.92)","1.23 (0.78- 1.96)","0.97 (0.65- 1.44)","1.03 (0.79- 1.35)","naproxen sodium",".",".",".","1.08 (0.84- 1.40)",".","0.92 (0.71- 1.20)",".","."
"0.97 (0.44- 2.15)","0.76 (0.34- 1.74)","1.00 (0.48- 2.08)","6.04 (1.26-28.85)","1.22 (0.58- 2.60)","0.96 (0.47- 1.95)","1.02 (0.54- 1.95)","0.99 (0.51- 1.94)","naratriptan",".",".","1.05 (0.54- 2.01)",".","1.14 (0.10-12.75)",".","."
"0.76 (0.29- 1.97)","0.60 (0.22- 1.59)","0.78 (0.31- 1.93)","4.72 (0.90-24.59)","0.96 (0.38- 2.40)","0.75 (0.31- 1.82)","0.80 (0.35- 1.85)","0.77 (0.33- 1.82)","0.78 (0.28- 2.21)","paracetamol",".","1.23 (0.52- 2.88)","1.40 (0.45- 4.39)",".",".","."
"1.10 (0.46- 2.66)","0.87 (0.35- 2.15)","1.13 (0.49- 2.60)","6.87 (1.38-34.34)","1.39 (0.60- 3.24)","1.09 (0.49- 2.44)","1.17 (0.55- 2.46)","1.13 (0.52- 2.44)","1.14 (0.43- 3.00)","1.46 (0.48- 4.40)","phenazone","0.93 (0.45- 1.94)",".",".",".","."
"1.03 (0.63- 1.67)","0.81 (0.48- 1.38)","1.06 (0.72- 1.55)","6.41 (1.53-26.80)","1.30 (0.86- 1.97)","1.02 (0.73- 1.41)","1.09 (0.94- 1.25)","1.05 (0.84- 1.32)","1.06 (0.56- 1.99)","1.36 (0.60- 3.10)","0.93 (0.45- 1.94)","placebo","0.93 (0.78- 1.10)","0.86 (0.76- 0.98)","0.81 (0.63- 1.04)","0.83 (0.66- 1.05)"
"0.97 (0.58- 1.61)","0.77 (0.44- 1.33)","1.00 (0.66- 1.51)","6.05 (1.44-25.51)","1.23 (0.80- 1.88)","0.96 (0.67- 1.38)","1.03 (0.84- 1.26)","0.99 (0.77- 1.29)","1.00 (0.52- 1.91)","1.28 (0.56- 2.94)","0.88 (0.42- 1.86)","0.94 (0.81- 1.10)","rizatriptan","0.96 (0.79- 1.18)",".","."
"0.91 (0.55- 1.51)","0.72 (0.42- 1.24)","0.94 (0.63- 1.40)","5.70 (1.36-23.95)","1.16 (0.77- 1.72)","0.90 (0.64- 1.28)","0.97 (0.80- 1.16)","0.94 (0.74- 1.18)","0.94 (0.50- 1.79)","1.21 (0.53- 2.77)","0.83 (0.39- 1.75)","0.89 (0.79- 1.00)","0.94 (0.81- 1.10)","sumatriptan",".","."
"0.83 (0.48- 1.44)","0.66 (0.37- 1.18)","0.86 (0.54- 1.35)","5.19 (1.21-22.18)","1.05 (0.65- 1.71)","0.82 (0.55- 1.24)","0.88 (0.66- 1.17)","0.85 (0.61- 1.19)","0.86 (0.44- 1.69)","1.10 (0.47- 2.61)","0.76 (0.35- 1.64)","0.81 (0.63- 1.04)","0.86 (0.64- 1.15)","0.91 (0.69- 1.20)","ubrogepant","."
"0.83 (0.49- 1.43)","0.66 (0.37- 1.16)","0.86 (0.55- 1.34)","5.20 (1.22-22.16)","1.05 (0.65- 1.70)","0.83 (0.55- 1.24)","0.88 (0.67- 1.16)","0.85 (0.62- 1.18)","0.86 (0.44- 1.69)","1.10 (0.47- 2.60)","0.76 (0.35- 1.64)","0.81 (0.64- 1.02)","0.86 (0.65- 1.13)","0.91 (0.70- 1.19)","1.00 (0.71- 1.41)","zolmitriptan"
