"acetylsalicylic acid",".",".",".",".",".",".",".","0.96 (0.59-1.57)",".","."
"1.19 (0.56-2.50)","almotriptan",".",".",".",".",".",".","0.81 (0.46-1.44)",".","."
"0.86 (0.47-1.60)","0.73 (0.37-1.44)","diclofenac potassium",".",".",".",".",".","1.12 (0.76-1.63)",".","."
"1.02 (0.59-1.75)","0.86 (0.46-1.59)","1.17 (0.75-1.85)","ibuprofen",".",".",".",".","0.95 (0.74-1.21)",".","."
"0.92 (0.55-1.53)","0.78 (0.43-1.39)","1.06 (0.71-1.60)","0.91 (0.68-1.20)","lasmiditan",".",".",".","1.05 (0.91-1.22)",".","."
"0.84 (0.49-1.44)","0.71 (0.38-1.30)","0.97 (0.62-1.51)","0.83 (0.59-1.16)","0.91 (0.69-1.20)","naproxen sodium",".",".","1.19 (0.92-1.54)",".","0.99 (0.75-1.29)"
"0.96 (0.42-2.17)","0.81 (0.34-1.92)","1.11 (0.52-2.37)","0.94 (0.47-1.90)","1.04 (0.53-2.04)","1.14 (0.57-2.29)","naratriptan",".","1.01 (0.52-1.94)",".","."
"1.19 (0.53-2.71)","1.01 (0.42-2.40)","1.38 (0.65-2.96)","1.18 (0.58-2.38)","1.30 (0.66-2.55)","1.43 (0.71-2.87)","1.25 (0.49-3.16)","paracetamol","0.81 (0.42-1.56)",".","."
"0.96 (0.59-1.57)","0.81 (0.46-1.44)","1.12 (0.76-1.63)","0.95 (0.74-1.21)","1.05 (0.91-1.22)","1.15 (0.91-1.45)","1.01 (0.52-1.94)","0.81 (0.42-1.56)","placebo","1.01 (0.76-1.36)","0.85 (0.73-0.99)"
"1.02 (0.60-1.74)","0.86 (0.47-1.58)","1.18 (0.76-1.83)","1.00 (0.72-1.40)","1.11 (0.85-1.45)","1.22 (0.90-1.65)","1.07 (0.53-2.13)","0.85 (0.43-1.71)","1.06 (0.84-1.32)","rizatriptan","0.85 (0.67-1.09)"
"0.84 (0.51-1.40)","0.71 (0.40-1.28)","0.98 (0.65-1.47)","0.83 (0.62-1.11)","0.92 (0.74-1.13)","1.01 (0.80-1.27)","0.88 (0.45-1.73)","0.71 (0.36-1.39)","0.87 (0.75-1.02)","0.83 (0.67-1.02)","sumatriptan"
