"acetylsalicylic acid",".",".",".",".",".",".",".","0.96 (0.56-1.66)",".","."
"1.19 (0.52-2.70)","almotriptan",".",".",".",".",".",".","0.81 (0.44-1.51)",".","."
"0.86 (0.43-1.76)","0.73 (0.34-1.57)","diclofenac potassium",".",".",".",".",".","1.12 (0.71-1.76)",".","."
"1.01 (0.55-1.87)","0.85 (0.43-1.69)","1.17 (0.69-2.00)","ibuprofen",".",".",".",".","0.95 (0.72-1.27)",".","."
"0.90 (0.50-1.61)","0.76 (0.40-1.45)","1.04 (0.63-1.71)","0.89 (0.63-1.26)","lasmiditan",".",".",".","1.07 (0.88-1.31)",".","."
"0.83 (0.45-1.52)","0.70 (0.36-1.37)","0.96 (0.56-1.63)","0.82 (0.55-1.21)","0.92 (0.66-1.29)","naproxen sodium",".",".","1.19 (0.88-1.61)",".","0.99 (0.72-1.36)"
"0.96 (0.39-2.33)","0.81 (0.32-2.06)","1.11 (0.48-2.55)","0.94 (0.44-2.01)","1.06 (0.51-2.21)","1.16 (0.54-2.45)","naratriptan",".","1.01 (0.50-2.03)",".","."
"1.17 (0.48-2.83)","0.98 (0.39-2.50)","1.35 (0.59-3.10)","1.15 (0.54-2.44)","1.30 (0.63-2.68)","1.41 (0.67-2.98)","1.22 (0.45-3.28)","paracetamol","0.83 (0.41-1.66)",".","."
"0.96 (0.56-1.66)","0.81 (0.44-1.51)","1.12 (0.71-1.76)","0.95 (0.72-1.27)","1.07 (0.88-1.31)","1.16 (0.89-1.53)","1.01 (0.50-2.03)","0.83 (0.41-1.66)","placebo","1.01 (0.73-1.39)","0.83 (0.70-1.00)"
"1.01 (0.55-1.85)","0.85 (0.44-1.67)","1.17 (0.69-1.97)","1.00 (0.68-1.47)","1.12 (0.81-1.56)","1.22 (0.86-1.74)","1.06 (0.50-2.23)","0.87 (0.41-1.82)","1.05 (0.81-1.36)","rizatriptan","0.85 (0.63-1.16)"
"0.83 (0.47-1.47)","0.70 (0.37-1.33)","0.96 (0.59-1.56)","0.82 (0.59-1.14)","0.92 (0.71-1.20)","1.00 (0.76-1.32)","0.87 (0.42-1.79)","0.71 (0.35-1.46)","0.86 (0.73-1.02)","0.82 (0.64-1.06)","sumatriptan"
