"acetylsalicylic acid",".",".",".",".",".",".",".",".",".","1.02 (0.55- 1.88)",".",".",".","."
"1.65 (0.74-3.67)","almotriptan",".",".",".",".",".",".",".",".","0.77 (0.40- 1.50)",".","0.13 (0.02- 0.76)",".","0.51 (0.22- 1.19)"
"0.90 (0.39-2.08)","0.55 (0.26-1.17)","diclofenac potassium",".",".",".",".",".",".",".","1.12 (0.64- 1.97)",".",".",".","."
"0.62 (0.32-1.21)","0.38 (0.22-0.66)","0.69 (0.38-1.27)","eletriptan",".",".",".","1.55 (0.78- 3.08)",".",".","1.84 (1.39- 2.44)",".","1.01 (0.65- 1.57)",".","1.31 (0.80- 2.14)"
"1.06 (0.51-2.22)","0.64 (0.34-1.23)","1.17 (0.59-2.34)","1.70 (1.07-2.70)","frovatriptan",".",".",".",".",".","0.76 (0.42- 1.38)",".","0.96 (0.56- 1.65)",".","."
"0.65 (0.34-1.26)","0.40 (0.23-0.69)","0.72 (0.39-1.32)","1.05 (0.75-1.45)","0.62 (0.39-0.98)","lasmiditan",".",".",".",".","1.55 (1.23- 1.96)",".",".",".","."
"0.86 (0.39-1.89)","0.52 (0.26-1.05)","0.95 (0.45-2.00)","1.37 (0.80-2.35)","0.81 (0.43-1.52)","1.31 (0.77-2.26)","naproxen sodium",".",".",".","1.03 (0.59- 1.79)",".","1.14 (0.65- 2.01)",".","."
"1.15 (0.54-2.44)","0.70 (0.36-1.36)","1.28 (0.63-2.58)","1.85 (1.17-2.91)","1.09 (0.60-1.96)","1.77 (1.09-2.87)","1.34 (0.70-2.57)","naratriptan",".",".","0.82 (0.50- 1.35)","0.68 (0.21- 2.23)","0.42 (0.09- 2.00)",".","."
"1.38 (0.56-3.37)","0.84 (0.37-1.91)","1.52 (0.65-3.59)","2.21 (1.11-4.39)","1.30 (0.61-2.79)","2.11 (1.06-4.19)","1.61 (0.71-3.61)","1.19 (0.55-2.59)","paracetamol",".","0.69 (0.35- 1.34)","0.84 (0.24- 2.89)",".",".","."
"1.02 (0.37-2.82)","0.62 (0.24-1.61)","1.12 (0.42-3.02)","1.63 (0.70-3.79)","0.96 (0.39-2.38)","1.55 (0.67-3.62)","1.18 (0.46-3.06)","0.88 (0.35-2.21)","0.74 (0.26-2.08)","phenazone","1.00 (0.44- 2.26)",".",".",".","."
"1.02 (0.55-1.88)","0.62 (0.37-1.03)","1.12 (0.64-1.97)","1.63 (1.29-2.05)","0.96 (0.64-1.44)","1.55 (1.23-1.96)","1.18 (0.73-1.93)","0.88 (0.57-1.35)","0.74 (0.39-1.41)","1.00 (0.44-2.26)","placebo","0.84 (0.67- 1.05)","0.83 (0.71- 0.96)","0.73 (0.39- 1.37)","0.82 (0.66- 1.01)"
"0.92 (0.48-1.75)","0.56 (0.32-0.96)","1.02 (0.56-1.84)","1.47 (1.10-1.97)","0.87 (0.56-1.35)","1.41 (1.04-1.90)","1.07 (0.64-1.80)","0.80 (0.50-1.26)","0.67 (0.34-1.30)","0.90 (0.39-2.09)","0.90 (0.75-1.10)","rizatriptan","0.88 (0.66- 1.17)",".","1.27 (0.57- 2.83)"
"0.84 (0.45-1.59)","0.51 (0.30-0.86)","0.93 (0.53-1.66)","1.35 (1.05-1.74)","0.80 (0.53-1.19)","1.29 (0.99-1.69)","0.98 (0.60-1.60)","0.73 (0.47-1.14)","0.61 (0.32-1.18)","0.83 (0.36-1.90)","0.83 (0.73-0.95)","0.92 (0.75-1.13)","sumatriptan",".","1.00 (0.63- 1.61)"
"0.74 (0.31-1.79)","0.45 (0.20-1.01)","0.82 (0.35-1.91)","1.19 (0.61-2.33)","0.70 (0.33-1.48)","1.13 (0.58-2.22)","0.86 (0.39-1.92)","0.64 (0.30-1.38)","0.54 (0.22-1.33)","0.73 (0.26-2.05)","0.73 (0.39-1.37)","0.81 (0.42-1.56)","0.88 (0.46-1.68)","ubrogepant","."
"0.85 (0.44-1.62)","0.51 (0.31-0.87)","0.94 (0.52-1.69)","1.36 (1.03-1.79)","0.80 (0.51-1.25)","1.30 (0.96-1.75)","0.99 (0.59-1.66)","0.74 (0.46-1.17)","0.62 (0.31-1.21)","0.84 (0.36-1.93)","0.84 (0.69-1.01)","0.92 (0.71-1.20)","1.01 (0.81-1.25)","1.14 (0.59-2.21)","zolmitriptan"
