"acetylsalicylic acid",".",".",".",".",".",".",".",".",".","1.03 (0.63- 1.66)",".",".",".","."
"1.60 (0.84-3.05)","almotriptan",".",".",".",".",".",".",".",".","0.75 (0.43- 1.29)",".","0.09 (0.01- 0.71)",".","0.51 (0.24- 1.07)"
"0.91 (0.49-1.70)","0.57 (0.32-1.03)","diclofenac potassium",".",".",".",".",".",".",".","1.12 (0.76- 1.66)",".",".",".","."
"0.64 (0.39-1.07)","0.40 (0.25-0.64)","0.70 (0.46-1.08)","eletriptan",".",".",".","1.55 (0.89- 2.71)",".",".","1.93 (1.53- 2.43)",".","0.99 (0.71- 1.37)",".","1.31 (0.99- 1.74)"
"1.05 (0.60-1.85)","0.66 (0.39-1.11)","1.15 (0.71-1.87)","1.64 (1.18-2.28)","frovatriptan",".",".",".",".",".","0.76 (0.48- 1.18)",".","0.96 (0.67- 1.38)",".","."
"0.71 (0.43-1.17)","0.44 (0.28-0.70)","0.78 (0.51-1.17)","1.10 (0.89-1.37)","0.67 (0.49-0.92)","lasmiditan",".",".",".",".","1.45 (1.27- 1.65)",".",".",".","."
"0.87 (0.48-1.58)","0.55 (0.32-0.95)","0.96 (0.57-1.61)","1.36 (0.93-1.99)","0.83 (0.53-1.29)","1.23 (0.85-1.78)","naproxen sodium",".",".",".","1.03 (0.70- 1.51)",".","1.14 (0.77- 1.70)",".","."
"1.16 (0.63-2.14)","0.73 (0.41-1.29)","1.27 (0.74-2.19)","1.81 (1.23-2.66)","1.10 (0.69-1.76)","1.64 (1.11-2.43)","1.33 (0.81-2.20)","naratriptan",".",".","0.79 (0.51- 1.22)","0.66 (0.21- 2.12)","0.42 (0.09- 1.90)",".","."
"1.39 (0.66-2.96)","0.87 (0.42-1.80)","1.52 (0.76-3.07)","2.16 (1.18-3.96)","1.32 (0.69-2.52)","1.96 (1.08-3.55)","1.59 (0.81-3.12)","1.20 (0.60-2.38)","paracetamol",".","0.69 (0.38- 1.26)","0.84 (0.26- 2.70)",".",".","."
"1.03 (0.44-2.42)","0.64 (0.28-1.48)","1.12 (0.50-2.52)","1.60 (0.77-3.31)","0.97 (0.45-2.09)","1.45 (0.70-2.97)","1.17 (0.53-2.58)","0.88 (0.40-1.96)","0.74 (0.30-1.84)","phenazone","1.00 (0.49- 2.03)",".",".",".","."
"1.03 (0.63-1.66)","0.64 (0.42-0.99)","1.12 (0.76-1.66)","1.60 (1.34-1.90)","0.97 (0.73-1.30)","1.45 (1.27-1.65)","1.17 (0.83-1.65)","0.88 (0.61-1.28)","0.74 (0.41-1.32)","1.00 (0.49-2.03)","placebo","0.82 (0.68- 0.98)","0.83 (0.74- 0.93)","0.73 (0.45- 1.19)","0.80 (0.69- 0.94)"
"0.94 (0.57-1.56)","0.59 (0.37-0.93)","1.03 (0.68-1.56)","1.46 (1.18-1.82)","0.89 (0.65-1.22)","1.33 (1.09-1.61)","1.08 (0.75-1.55)","0.81 (0.55-1.20)","0.68 (0.37-1.22)","0.92 (0.44-1.89)","0.92 (0.79-1.06)","rizatriptan","0.88 (0.73- 1.07)",".","1.27 (0.63- 2.54)"
"0.86 (0.53-1.41)","0.54 (0.35-0.84)","0.94 (0.63-1.41)","1.34 (1.11-1.61)","0.82 (0.61-1.08)","1.21 (1.03-1.43)","0.98 (0.70-1.39)","0.74 (0.51-1.08)","0.62 (0.34-1.11)","0.84 (0.41-1.72)","0.84 (0.76-0.93)","0.91 (0.79-1.06)","sumatriptan",".","1.00 (0.78- 1.29)"
"0.75 (0.38-1.49)","0.47 (0.24-0.90)","0.82 (0.44-1.53)","1.17 (0.69-1.96)","0.71 (0.40-1.25)","1.06 (0.64-1.75)","0.86 (0.47-1.55)","0.64 (0.35-1.19)","0.54 (0.25-1.15)","0.73 (0.31-1.73)","0.73 (0.45-1.19)","0.80 (0.48-1.33)","0.87 (0.53-1.43)","ubrogepant","."
"0.85 (0.52-1.40)","0.53 (0.34-0.82)","0.93 (0.61-1.40)","1.32 (1.09-1.59)","0.80 (0.59-1.10)","1.20 (0.99-1.44)","0.97 (0.68-1.39)","0.73 (0.49-1.07)","0.61 (0.34-1.10)","0.83 (0.40-1.70)","0.83 (0.73-0.94)","0.90 (0.75-1.09)","0.99 (0.85-1.14)","1.13 (0.68-1.88)","zolmitriptan"
