"acetylsalicylic acid",".",".",".",".",".",".",".",".",".",".",".","1.11 (0.70- 1.77)",".",".",".",".","."
"1.07 (0.61-1.86)","almotriptan",".",".",".",".",".",".",".",".",".",".","0.90 (0.52- 1.56)",".",".","0.86 (0.59- 1.26)",".","1.28 (0.57- 2.84)"
"1.21 (0.68-2.16)","1.13 (0.71-1.79)","celecoxib",".",".",".",".",".",".",".",".",".","0.92 (0.65- 1.31)",".",".",".",".","."
"0.88 (0.49-1.57)","0.82 (0.52-1.31)","0.73 (0.44-1.19)","diclofenac potassium",".",".",".",".",".",".",".",".","1.27 (0.89- 1.80)",".",".",".",".","."
"0.98 (0.59-1.62)","0.91 (0.64-1.31)","0.81 (0.54-1.21)","1.11 (0.74-1.67)","eletriptan",".",".",".",".","1.10 (0.69- 1.75)",".",".","1.21 (0.95- 1.54)",".",".","0.92 (0.66- 1.29)",".","."
"1.25 (0.74-2.11)","1.17 (0.80-1.71)","1.03 (0.67-1.58)","1.42 (0.92-2.18)","1.28 (0.93-1.75)","frovatriptan",".",".",".",".",".",".","0.78 (0.56- 1.10)",".",".","0.86 (0.61- 1.22)",".","."
"1.27 (0.77-2.10)","1.19 (0.83-1.70)","1.05 (0.71-1.57)","1.45 (0.97-2.16)","1.30 (0.98-1.73)","1.02 (0.75-1.39)","ibuprofen",".",".",".",".",".","0.88 (0.72- 1.06)",".",".",".",".","."
"0.89 (0.55-1.44)","0.83 (0.60-1.15)","0.74 (0.51-1.07)","1.01 (0.69-1.47)","0.91 (0.71-1.16)","0.71 (0.54-0.94)","0.70 (0.55-0.88)","lasmiditan",".",".",".",".","1.25 (1.10- 1.43)",".",".",".",".","."
"1.00 (0.60-1.68)","0.94 (0.65-1.35)","0.83 (0.55-1.25)","1.14 (0.75-1.73)","1.03 (0.76-1.38)","0.80 (0.58-1.11)","0.79 (0.59-1.06)","1.13 (0.87-1.46)","naproxen sodium",".",".",".","1.14 (0.89- 1.46)",".","0.45 (0.03- 5.84)","0.90 (0.70- 1.17)",".","."
"1.23 (0.70-2.18)","1.15 (0.74-1.80)","1.02 (0.63-1.65)","1.40 (0.87-2.27)","1.26 (0.89-1.79)","0.99 (0.66-1.49)","0.97 (0.66-1.42)","1.39 (0.97-1.98)","1.23 (0.83-1.83)","naratriptan",".",".","0.80 (0.56- 1.16)",".","0.46 (0.11- 1.87)","1.72 (0.18-16.78)",".","."
"1.87 (1.01-3.46)","1.75 (1.06-2.90)","1.55 (0.91-2.64)","2.12 (1.24-3.64)","1.91 (1.21-3.02)","1.50 (0.93-2.41)","1.47 (0.94-2.30)","2.10 (1.37-3.22)","1.86 (1.17-2.96)","1.51 (0.90-2.56)","paracetamol",".","0.57 (0.38- 0.86)",".","0.81 (0.23- 2.87)",".",".","."
"1.20 (0.50-2.85)","1.12 (0.51-2.48)","0.99 (0.44-2.23)","1.36 (0.60-3.07)","1.23 (0.57-2.63)","0.96 (0.44-2.08)","0.94 (0.44-2.01)","1.35 (0.64-2.84)","1.19 (0.55-2.57)","0.97 (0.43-2.17)","0.64 (0.28-1.48)","phenazone","0.93 (0.45- 1.94)",".",".",".",".","."
"1.11 (0.70-1.77)","1.04 (0.77-1.41)","0.92 (0.65-1.31)","1.27 (0.89-1.80)","1.14 (0.93-1.40)","0.89 (0.70-1.14)","0.88 (0.72-1.06)","1.25 (1.10-1.43)","1.11 (0.89-1.39)","0.90 (0.65-1.26)","0.60 (0.40-0.90)","0.93 (0.45-1.94)","placebo","0.91 (0.73- 1.13)","0.84 (0.69- 1.03)","0.82 (0.74- 0.92)","0.81 (0.67- 0.98)","0.81 (0.68- 0.97)"
