"acetylsalicylic acid",".",".",".",".",".",".",".",".","1.03 (0.58- 1.83)",".",".",".",".","."
"1.04 (0.52-2.10)","almotriptan",".",".",".",".",".",".",".","0.86 (0.46- 1.60)",".",".","0.92 (0.56- 1.52)",".","."
"0.88 (0.41-1.88)","0.84 (0.44-1.60)","diclofenac potassium",".",".",".",".",".",".","1.17 (0.71- 1.93)",".",".",".",".","."
"1.18 (0.60-2.32)","1.13 (0.67-1.92)","1.34 (0.73-2.48)","eletriptan",".",".",".",".",".","0.92 (0.61- 1.40)",".",".","0.76 (0.46- 1.26)",".","."
"1.09 (0.55-2.15)","1.04 (0.61-1.78)","1.24 (0.67-2.30)","0.92 (0.55-1.53)","frovatriptan",".",".",".",".","0.75 (0.44- 1.30)",".",".","0.96 (0.59- 1.56)",".","."
"1.10 (0.48-2.52)","1.06 (0.52-2.16)","1.26 (0.58-2.72)","0.94 (0.47-1.86)","1.02 (0.51-2.03)","ibuprofen",".",".",".","0.93 (0.52- 1.67)",".",".",".",".","."
"0.69 (0.37-1.26)","0.66 (0.42-1.03)","0.78 (0.46-1.34)","0.58 (0.39-0.88)","0.63 (0.42-0.96)","0.62 (0.33-1.16)","lasmiditan",".",".","1.50 (1.23- 1.83)",".",".",".",".","."
"0.94 (0.49-1.80)","0.90 (0.55-1.47)","1.07 (0.60-1.92)","0.80 (0.50-1.27)","0.86 (0.54-1.38)","0.85 (0.44-1.65)","1.37 (0.95-1.97)","naproxen sodium",".","1.18 (0.83- 1.67)",".","0.45 (0.03- 5.95)","0.90 (0.64- 1.26)",".","."
"1.17 (0.49-2.78)","1.12 (0.52-2.40)","1.33 (0.59-3.02)","0.99 (0.47-2.08)","1.08 (0.51-2.27)","1.06 (0.44-2.54)","1.70 (0.86-3.36)","1.24 (0.61-2.55)","naratriptan","1.01 (0.51- 1.99)",".",".","0.24 (0.03- 1.68)",".","."
"1.03 (0.58-1.83)","0.98 (0.66-1.47)","1.17 (0.71-1.93)","0.87 (0.61-1.25)","0.95 (0.65-1.37)","0.93 (0.52-1.67)","1.50 (1.23-1.83)","1.09 (0.81-1.48)","0.88 (0.46-1.68)","placebo","1.83 (0.64- 5.22)","0.88 (0.71- 1.09)","0.83 (0.72- 0.94)","0.75 (0.42- 1.35)","0.77 (0.62- 0.96)"
"1.81 (0.57-5.78)","1.73 (0.59-5.12)","2.06 (0.67-6.35)","1.53 (0.53-4.46)","1.67 (0.57-4.86)","1.64 (0.51-5.26)","2.63 (0.94-7.37)","1.93 (0.67-5.51)","1.55 (0.47-5.14)","1.76 (0.64-4.83)","rimegepant",".","0.52 (0.17- 1.62)",".","."
"0.95 (0.52-1.74)","0.91 (0.59-1.40)","1.08 (0.63-1.84)","0.80 (0.54-1.20)","0.87 (0.58-1.31)","0.86 (0.46-1.59)","1.38 (1.05-1.81)","1.01 (0.71-1.43)","0.81 (0.41-1.59)","0.92 (0.77-1.11)","0.52 (0.19-1.46)","rizatriptan","0.91 (0.70- 1.19)",".","."
"0.88 (0.49-1.58)","0.84 (0.56-1.25)","1.00 (0.60-1.67)","0.74 (0.52-1.07)","0.81 (0.56-1.16)","0.79 (0.44-1.44)","1.28 (1.01-1.61)","0.93 (0.69-1.26)","0.75 (0.39-1.45)","0.85 (0.76-0.96)","0.48 (0.18-1.33)","0.92 (0.76-1.12)","sumatriptan",".","1.04 (0.70- 1.56)"
"0.77 (0.34-1.76)","0.74 (0.37-1.51)","0.88 (0.41-1.90)","0.66 (0.33-1.30)","0.71 (0.36-1.42)","0.70 (0.31-1.60)","1.13 (0.61-2.09)","0.82 (0.43-1.59)","0.66 (0.28-1.59)","0.75 (0.42-1.35)","0.43 (0.13-1.37)","0.82 (0.44-1.50)","0.88 (0.49-1.60)","ubrogepant","."
"0.81 (0.44-1.48)","0.77 (0.50-1.20)","0.92 (0.54-1.57)","0.68 (0.46-1.03)","0.74 (0.49-1.12)","0.73 (0.39-1.36)","1.18 (0.89-1.56)","0.86 (0.60-1.23)","0.69 (0.35-1.36)","0.79 (0.65-0.96)","0.45 (0.16-1.25)","0.85 (0.65-1.11)","0.92 (0.74-1.15)","1.04 (0.56-1.93)","zolmitriptan"
