"acetylsalicylic acid",".",".",".",".",".",".",".",".","1.03 (0.63- 1.67)",".",".",".",".","."
"1.00 (0.55-1.81)","almotriptan",".",".",".",".",".",".",".","0.84 (0.48- 1.46)",".",".","0.93 (0.62- 1.39)",".","."
"0.88 (0.47-1.64)","0.88 (0.52-1.47)","diclofenac potassium",".",".",".",".",".",".","1.17 (0.79- 1.73)",".",".",".",".","."
"1.13 (0.64-1.99)","1.12 (0.73-1.74)","1.28 (0.79-2.09)","eletriptan",".",".",".",".",".","1.00 (0.70- 1.42)",".",".","0.76 (0.51- 1.13)",".","."
"1.06 (0.60-1.87)","1.06 (0.68-1.64)","1.21 (0.74-1.97)","0.94 (0.63-1.41)","frovatriptan",".",".",".",".","0.75 (0.48- 1.18)",".",".","0.96 (0.67- 1.39)",".","."
"1.10 (0.55-2.22)","1.10 (0.60-2.01)","1.26 (0.67-2.37)","0.98 (0.55-1.74)","1.04 (0.58-1.85)","ibuprofen",".",".",".","0.93 (0.56- 1.53)",".",".",".",".","."
"0.70 (0.43-1.17)","0.70 (0.49-1.01)","0.80 (0.53-1.21)","0.62 (0.45-0.86)","0.66 (0.48-0.91)","0.64 (0.38-1.07)","lasmiditan",".",".","1.46 (1.28- 1.66)",".",".",".",".","."
"0.92 (0.54-1.59)","0.92 (0.62-1.38)","1.05 (0.67-1.66)","0.82 (0.57-1.19)","0.87 (0.60-1.26)","0.84 (0.48-1.46)","1.31 (1.00-1.72)","naproxen sodium",".","1.18 (0.89- 1.55)",".","0.45 (0.03- 5.84)","0.90 (0.69- 1.17)",".","."
"1.15 (0.53-2.50)","1.15 (0.58-2.29)","1.31 (0.64-2.69)","1.02 (0.52-1.99)","1.08 (0.56-2.12)","1.04 (0.48-2.28)","1.63 (0.88-3.03)","1.24 (0.65-2.38)","naratriptan","0.99 (0.53- 1.85)",".",".","0.19 (0.02- 1.81)",".","."
"1.03 (0.63-1.67)","1.02 (0.73-1.43)","1.17 (0.79-1.73)","0.91 (0.68-1.22)","0.97 (0.72-1.29)","0.93 (0.56-1.53)","1.46 (1.28-1.66)","1.11 (0.87-1.41)","0.89 (0.49-1.63)","placebo","1.83 (0.67- 4.98)","0.85 (0.70- 1.03)","0.82 (0.74- 0.91)","0.75 (0.46- 1.24)","0.77 (0.65- 0.91)"
"1.80 (0.61-5.35)","1.80 (0.65-5.02)","2.06 (0.72-5.86)","1.60 (0.58-4.40)","1.70 (0.62-4.68)","1.63 (0.55-4.87)","2.56 (0.96-6.83)","1.95 (0.72-5.30)","1.57 (0.50-4.92)","1.76 (0.67-4.64)","rimegepant",".","0.52 (0.17- 1.55)",".","."
"0.95 (0.57-1.59)","0.95 (0.66-1.37)","1.09 (0.71-1.66)","0.85 (0.61-1.17)","0.90 (0.65-1.24)","0.86 (0.51-1.46)","1.36 (1.11-1.66)","1.03 (0.78-1.36)","0.83 (0.45-1.55)","0.93 (0.80-1.08)","0.53 (0.20-1.41)","rizatriptan","0.90 (0.73- 1.10)",".","."
"0.86 (0.53-1.42)","0.86 (0.62-1.20)","0.98 (0.66-1.47)","0.77 (0.57-1.03)","0.81 (0.61-1.09)","0.78 (0.47-1.30)","1.23 (1.05-1.44)","0.93 (0.74-1.18)","0.75 (0.41-1.38)","0.84 (0.77-0.93)","0.48 (0.18-1.27)","0.91 (0.77-1.06)","sumatriptan",".","1.04 (0.80- 1.35)"
"0.77 (0.39-1.55)","0.77 (0.42-1.40)","0.88 (0.47-1.65)","0.69 (0.39-1.22)","0.73 (0.41-1.29)","0.70 (0.35-1.41)","1.10 (0.66-1.83)","0.84 (0.48-1.45)","0.67 (0.31-1.47)","0.75 (0.46-1.24)","0.43 (0.14-1.27)","0.81 (0.48-1.36)","0.89 (0.54-1.48)","ubrogepant","."
"0.81 (0.49-1.35)","0.81 (0.56-1.17)","0.93 (0.61-1.41)","0.72 (0.52-0.99)","0.77 (0.56-1.06)","0.74 (0.44-1.24)","1.16 (0.95-1.41)","0.88 (0.67-1.16)","0.71 (0.38-1.32)","0.79 (0.68-0.92)","0.45 (0.17-1.20)","0.85 (0.69-1.05)","0.94 (0.80-1.11)","1.05 (0.63-1.76)","zolmitriptan"
