"acetylsalicylic acid",".",".",".",".",".",".",".",".",".","1.03 (0.63- 1.66)",".",".",".","."
"1.14 (0.64-2.03)","almotriptan",".",".",".",".",".",".",".",".","0.80 (0.47- 1.38)",".","0.88 (0.59- 1.31)",".","0.85 (0.28- 2.55)"
"0.95 (0.52-1.76)","0.83 (0.51-1.37)","diclofenac potassium",".",".",".",".",".",".",".","1.08 (0.73- 1.58)",".",".",".","."
"0.79 (0.47-1.32)","0.69 (0.48-0.98)","0.82 (0.54-1.26)","eletriptan",".",".",".",".","1.28 (0.76- 2.14)",".","1.49 (1.17- 1.91)",".","0.87 (0.61- 1.25)",".","1.20 (0.89- 1.60)"
"1.29 (0.74-2.23)","1.13 (0.75-1.69)","1.35 (0.85-2.15)","1.64 (1.19-2.25)","frovatriptan",".",".",".",".",".","0.61 (0.43- 0.86)",".","1.06 (0.71- 1.58)",".","."
"1.05 (0.61-1.80)","0.92 (0.62-1.36)","1.10 (0.70-1.73)","1.33 (0.98-1.81)","0.81 (0.57-1.16)","ibuprofen",".",".",".",".","0.98 (0.77- 1.25)",".",".",".","."
"0.71 (0.43-1.17)","0.62 (0.44-0.88)","0.75 (0.50-1.12)","0.91 (0.72-1.14)","0.55 (0.41-0.74)","0.68 (0.52-0.90)","lasmiditan",".",".",".","1.44 (1.26- 1.63)",".",".",".","."
"0.95 (0.55-1.62)","0.83 (0.56-1.21)","0.99 (0.64-1.55)","1.20 (0.90-1.61)","0.74 (0.52-1.04)","0.90 (0.65-1.27)","1.33 (1.02-1.73)","naproxen sodium",".",".","1.16 (0.89- 1.51)",".","0.98 (0.76- 1.27)",".","."
"1.21 (0.62-2.35)","1.06 (0.60-1.84)","1.27 (0.69-2.31)","1.53 (0.97-2.42)","0.94 (0.55-1.59)","1.15 (0.68-1.94)","1.69 (1.05-2.73)","1.27 (0.76-2.13)","naratriptan",".","0.71 (0.40- 1.28)","0.09 (0.01- 0.71)","2.89 (0.14-60.78)",".","."
"1.24 (0.60-2.54)","1.08 (0.58-2.01)","1.30 (0.67-2.50)","1.57 (0.89-2.77)","0.96 (0.53-1.74)","1.18 (0.66-2.12)","1.73 (1.00-3.00)","1.30 (0.73-2.34)","1.02 (0.50-2.08)","paracetamol","0.78 (0.45- 1.36)","1.00 (0.32- 3.11)",".",".","."
"1.03 (0.63-1.66)","0.90 (0.65-1.23)","1.08 (0.73-1.58)","1.30 (1.08-1.57)","0.80 (0.61-1.04)","0.98 (0.77-1.25)","1.44 (1.26-1.63)","1.08 (0.86-1.37)","0.85 (0.54-1.35)","0.83 (0.49-1.42)","placebo","0.90 (0.76- 1.05)","0.92 (0.82- 1.02)","0.83 (0.65- 1.07)","0.84 (0.71- 0.98)"
"0.94 (0.57-1.56)","0.82 (0.59-1.15)","0.99 (0.66-1.48)","1.20 (0.96-1.50)","0.73 (0.55-0.98)","0.90 (0.68-1.19)","1.32 (1.10-1.59)","1.00 (0.77-1.29)","0.78 (0.48-1.26)","0.76 (0.44-1.32)","0.92 (0.80-1.05)","rizatriptan","1.00 (0.82- 1.21)",".","1.60 (0.76- 3.36)"
"0.96 (0.59-1.57)","0.84 (0.61-1.14)","1.00 (0.68-1.49)","1.22 (1.00-1.48)","0.74 (0.57-0.97)","0.91 (0.70-1.19)","1.34 (1.14-1.58)","1.01 (0.80-1.27)","0.79 (0.50-1.27)","0.78 (0.45-1.33)","0.93 (0.85-1.03)","1.02 (0.88-1.17)","sumatriptan",".","0.94 (0.72- 1.22)"
"0.85 (0.50-1.47)","0.75 (0.50-1.11)","0.90 (0.57-1.41)","1.09 (0.80-1.48)","0.66 (0.46-0.95)","0.82 (0.58-1.15)","1.20 (0.91-1.58)","0.90 (0.64-1.27)","0.71 (0.42-1.20)","0.69 (0.38-1.25)","0.83 (0.65-1.07)","0.91 (0.68-1.20)","0.89 (0.68-1.16)","ubrogepant","."
"0.90 (0.54-1.48)","0.78 (0.56-1.09)","0.94 (0.63-1.41)","1.14 (0.93-1.39)","0.70 (0.52-0.93)","0.86 (0.65-1.13)","1.26 (1.04-1.51)","0.95 (0.73-1.23)","0.74 (0.46-1.19)","0.73 (0.42-1.26)","0.87 (0.76-1.00)","0.95 (0.79-1.14)","0.94 (0.81-1.08)","1.05 (0.79-1.39)","zolmitriptan"
