"acetylsalicylic acid",".",".",".",".",".",".",".",".",".","1.03 (0.63- 1.66)",".",".",".","."
"1.14 (0.64-2.03)","almotriptan",".",".",".",".",".",".",".",".","0.79 (0.45- 1.36)",".","0.87 (0.59- 1.30)",".","0.85 (0.28- 2.55)"
"0.95 (0.52-1.76)","0.84 (0.51-1.38)","diclofenac potassium",".",".",".",".",".",".",".","1.08 (0.73- 1.58)",".",".",".","."
"0.77 (0.46-1.30)","0.68 (0.47-0.97)","0.81 (0.53-1.24)","eletriptan",".",".",".",".","1.28 (0.76- 2.14)",".","1.54 (1.21- 1.97)",".","0.89 (0.62- 1.28)",".","1.20 (0.89- 1.60)"
"1.28 (0.74-2.22)","1.13 (0.75-1.69)","1.34 (0.85-2.14)","1.66 (1.21-2.28)","frovatriptan",".",".",".",".",".","0.61 (0.43- 0.86)",".","1.06 (0.71- 1.58)",".","."
"1.05 (0.61-1.80)","0.92 (0.62-1.37)","1.10 (0.70-1.73)","1.35 (1.00-1.84)","0.82 (0.57-1.17)","ibuprofen",".",".",".",".","0.98 (0.77- 1.25)",".",".",".","."
"0.71 (0.43-1.17)","0.62 (0.44-0.88)","0.74 (0.50-1.11)","0.92 (0.73-1.15)","0.55 (0.41-0.74)","0.68 (0.51-0.89)","lasmiditan",".",".",".","1.45 (1.27- 1.64)",".",".",".","."
"0.93 (0.54-1.58)","0.82 (0.56-1.20)","0.97 (0.62-1.52)","1.20 (0.90-1.61)","0.72 (0.51-1.02)","0.89 (0.63-1.24)","1.31 (1.00-1.71)","naproxen sodium",".",".","1.16 (0.89- 1.52)",".","0.97 (0.75- 1.26)",".","."
"1.21 (0.62-2.36)","1.06 (0.61-1.86)","1.27 (0.69-2.32)","1.56 (0.99-2.47)","0.94 (0.55-1.61)","1.15 (0.68-1.96)","1.71 (1.05-2.77)","1.30 (0.77-2.19)","naratriptan",".","0.69 (0.39- 1.22)","0.09 (0.01- 0.71)",".",".","."
"1.21 (0.60-2.48)","1.07 (0.58-1.97)","1.27 (0.67-2.44)","1.57 (0.90-2.74)","0.95 (0.53-1.70)","1.16 (0.65-2.07)","1.71 (1.00-2.94)","1.31 (0.74-2.32)","1.01 (0.50-2.03)","paracetamol","0.80 (0.47- 1.37)","1.00 (0.32- 3.11)",".",".","."
"1.03 (0.63-1.66)","0.90 (0.66-1.24)","1.08 (0.73-1.58)","1.33 (1.10-1.60)","0.80 (0.62-1.04)","0.98 (0.77-1.25)","1.45 (1.27-1.64)","1.10 (0.88-1.39)","0.85 (0.53-1.35)","0.84 (0.50-1.43)","placebo","0.87 (0.75- 1.02)","0.90 (0.80- 1.00)","0.83 (0.65- 1.07)","0.83 (0.71- 0.98)"
"0.92 (0.56-1.53)","0.81 (0.58-1.14)","0.97 (0.65-1.46)","1.20 (0.96-1.50)","0.72 (0.54-0.96)","0.88 (0.67-1.17)","1.30 (1.08-1.57)","1.00 (0.77-1.29)","0.77 (0.47-1.24)","0.76 (0.45-1.30)","0.90 (0.79-1.03)","rizatriptan","1.00 (0.82- 1.21)",".","1.60 (0.76- 3.36)"
"0.95 (0.58-1.55)","0.83 (0.61-1.14)","0.99 (0.67-1.47)","1.23 (1.01-1.49)","0.74 (0.57-0.96)","0.91 (0.70-1.18)","1.34 (1.14-1.57)","1.02 (0.81-1.29)","0.78 (0.49-1.26)","0.78 (0.46-1.33)","0.92 (0.84-1.02)","1.02 (0.89-1.18)","sumatriptan",".","0.94 (0.72- 1.22)"
"0.85 (0.50-1.47)","0.75 (0.50-1.12)","0.90 (0.57-1.41)","1.11 (0.81-1.50)","0.67 (0.46-0.96)","0.82 (0.58-1.15)","1.21 (0.91-1.59)","0.92 (0.66-1.29)","0.71 (0.42-1.20)","0.70 (0.39-1.25)","0.83 (0.65-1.07)","0.92 (0.70-1.22)","0.90 (0.69-1.17)","ubrogepant","."
"0.89 (0.54-1.47)","0.78 (0.56-1.09)","0.93 (0.62-1.40)","1.15 (0.94-1.40)","0.69 (0.52-0.93)","0.85 (0.64-1.12)","1.26 (1.04-1.51)","0.96 (0.74-1.25)","0.74 (0.46-1.19)","0.73 (0.43-1.26)","0.87 (0.76-0.99)","0.96 (0.80-1.15)","0.94 (0.81-1.09)","1.04 (0.79-1.38)","zolmitriptan"
