"almotriptan",".",".",".",".",".",".",".",".",".",".","0.79 (0.45-  1.39)",".",".",".",".","13.10 (0.74-233.26)"
"1.00 (0.51-1.96)","celecoxib",".",".",".",".",".",".",".",".",".","0.88 (0.60-  1.28)",".",".",".",".","."
"0.77 (0.39-1.52)","0.77 (0.45-1.33)","diclofenac potassium",".",".",".",".",".",".",".",".","1.14 (0.77-  1.68)",".",".",".",".","."
"1.00 (0.52-1.91)","1.00 (0.60-1.66)","1.29 (0.77-2.17)","eletriptan",".",".",".",".","1.16 (0.68-  1.99)",".",".","0.86 (0.60-  1.23)",".",".",".",".","."
"1.08 (0.57-2.04)","1.08 (0.66-1.77)","1.40 (0.85-2.30)","1.08 (0.68-1.72)","frovatriptan",".",".",".",".",".",".","0.63 (0.40-  1.01)",".",".","1.04 (0.69-  1.57)",".","."
"1.06 (0.56-2.02)","1.06 (0.64-1.75)","1.37 (0.83-2.29)","1.06 (0.66-1.71)","0.98 (0.62-1.55)","ibuprofen",".",".",".",".",".","0.83 (0.59-  1.15)",".",".",".",".","."
"0.82 (0.46-1.44)","0.81 (0.54-1.22)","1.06 (0.70-1.60)","0.82 (0.56-1.19)","0.75 (0.53-1.07)","0.77 (0.53-1.10)","lasmiditan",".",".",".",".","1.08 (0.93-  1.25)",".",".",".",".","."
"0.84 (0.44-1.61)","0.84 (0.50-1.40)","1.08 (0.64-1.82)","0.84 (0.51-1.36)","0.78 (0.49-1.23)","0.79 (0.49-1.27)","1.03 (0.70-1.50)","naproxen sodium",".",".",".","1.01 (0.68-  1.49)",".",".","1.17 (0.78-  1.75)",".","."
"1.24 (0.64-2.39)","1.24 (0.74-2.08)","1.60 (0.95-2.71)","1.24 (0.82-1.88)","1.15 (0.71-1.84)","1.17 (0.72-1.89)","1.52 (1.04-2.23)","1.48 (0.90-2.43)","naratriptan",".",".","0.65 (0.45-  0.94)",".",".","6.47 (0.35-118.32)",".","."
"1.57 (0.67-3.65)","1.56 (0.74-3.30)","2.03 (0.96-4.29)","1.57 (0.76-3.25)","1.45 (0.71-2.97)","1.48 (0.72-3.04)","1.92 (0.99-3.72)","1.87 (0.90-3.89)","1.26 (0.61-2.63)","paracetamol",".","0.56 (0.30-  1.07)",".",".",".",".","."
"1.08 (0.43-2.67)","1.07 (0.48-2.43)","1.39 (0.61-3.16)","1.08 (0.48-2.39)","1.00 (0.45-2.19)","1.01 (0.46-2.24)","1.32 (0.63-2.76)","1.28 (0.58-2.86)","0.87 (0.39-1.94)","0.69 (0.26-1.81)","phenazone","0.82 (0.40-  1.68)",".",".",".",".","."
"0.88 (0.51-1.53)","0.88 (0.60-1.28)","1.14 (0.77-1.68)","0.88 (0.63-1.24)","0.81 (0.59-1.12)","0.83 (0.59-1.15)","1.08 (0.93-1.25)","1.05 (0.74-1.49)","0.71 (0.50-1.01)","0.56 (0.30-1.07)","0.82 (0.40-1.68)","placebo","1.00 (0.68-  1.46)","0.97 (0.75-  1.26)","1.03 (0.89-  1.18)","0.63 (0.38-  1.04)","0.91 (0.69-  1.20)"
"0.88 (0.45-1.72)","0.88 (0.51-1.50)","1.14 (0.66-1.96)","0.88 (0.53-1.47)","0.81 (0.50-1.34)","0.83 (0.50-1.37)","1.08 (0.72-1.63)","1.05 (0.63-1.76)","0.71 (0.42-1.19)","0.56 (0.27-1.19)","0.82 (0.36-1.85)","1.00 (0.68-1.46)","rimegepant",".",".",".","."
"0.98 (0.54-1.76)","0.97 (0.63-1.50)","1.26 (0.82-1.96)","0.98 (0.66-1.46)","0.90 (0.63-1.30)","0.92 (0.62-1.36)","1.20 (0.93-1.55)","1.17 (0.79-1.73)","0.79 (0.52-1.19)","0.62 (0.32-1.22)","0.91 (0.43-1.92)","1.11 (0.90-1.36)","1.11 (0.72-1.71)","rizatriptan","0.89 (0.70-  1.14)",".","."
"0.93 (0.53-1.64)","0.93 (0.62-1.39)","1.20 (0.80-1.81)","0.93 (0.65-1.34)","0.86 (0.63-1.18)","0.88 (0.61-1.25)","1.14 (0.93-1.39)","1.11 (0.78-1.58)","0.75 (0.51-1.09)","0.59 (0.31-1.14)","0.86 (0.41-1.80)","1.06 (0.93-1.21)","1.06 (0.71-1.58)","0.95 (0.78-1.16)","sumatriptan",".","."
"0.55 (0.26-1.16)","0.55 (0.29-1.03)","0.71 (0.38-1.35)","0.55 (0.30-1.01)","0.51 (0.28-0.93)","0.52 (0.28-0.95)","0.68 (0.40-1.14)","0.66 (0.36-1.21)","0.44 (0.24-0.82)","0.35 (0.16-0.80)","0.51 (0.21-1.24)","0.63 (0.38-1.04)","0.63 (0.33-1.18)","0.56 (0.33-0.97)","0.59 (0.35-1.00)","ubrogepant","."
"0.82 (0.44-1.51)","0.82 (0.51-1.30)","1.06 (0.66-1.70)","0.82 (0.53-1.27)","0.76 (0.50-1.15)","0.77 (0.50-1.19)","1.00 (0.73-1.37)","0.98 (0.63-1.52)","0.66 (0.42-1.03)","0.52 (0.26-1.05)","0.76 (0.35-1.65)","0.93 (0.70-1.23)","0.93 (0.58-1.49)","0.84 (0.59-1.18)","0.88 (0.65-1.20)","1.49 (0.83-2.64)","zolmitriptan"
