"acetylsalicylic acid",".",".",".",".",".",".",".",".",".",".",".","1.77 (1.47-2.12)",".",".","1.00 (0.63-1.60)",".","."
"0.71 (0.57-0.89)","almotriptan",".",".",".",".",".",".",".",".",".",".","2.50 (1.97-3.19)",".",".","0.96 (0.79-1.17)",".","0.80 (0.62-1.03)"
"1.05 (0.79-1.40)","1.48 (1.13-1.93)","celecoxib",".",".",".",".",".",".",".",".",".","1.75 (1.40-2.19)",".",".",".",".","."
"0.84 (0.60-1.17)","1.18 (0.86-1.62)","0.80 (0.56-1.15)","diclofenac potassium",".",".",".",".",".",".",".",".","2.19 (1.65-2.91)",".",".",".",".","."
"0.46 (0.38-0.57)","0.65 (0.55-0.76)","0.44 (0.35-0.56)","0.55 (0.41-0.74)","eletriptan",".",".",".",".","1.55 (1.06-2.27)",".",".","4.12 (3.68-4.62)",".",".","1.41 (1.24-1.60)",".","1.24 (0.99-1.54)"
"0.92 (0.73-1.16)","1.29 (1.05-1.58)","0.87 (0.67-1.15)","1.10 (0.80-1.51)","1.98 (1.67-2.36)","frovatriptan",".",".",".",".",".",".","2.04 (1.72-2.42)",".",".","0.66 (0.51-0.85)",".","."
"0.94 (0.73-1.21)","1.32 (1.06-1.65)","0.90 (0.67-1.19)","1.12 (0.80-1.56)","2.03 (1.67-2.47)","1.02 (0.81-1.29)","ibuprofen",".",".",".",".",".","1.95 (1.64-2.33)",".",".",".",".","."
"1.01 (0.82-1.24)","1.42 (1.19-1.68)","0.96 (0.75-1.23)","1.20 (0.89-1.62)","2.18 (1.90-2.49)","1.10 (0.92-1.32)","1.07 (0.88-1.31)","lasmiditan",".",".",".",".","1.82 (1.65-2.01)",".",".",".",".","."
"0.90 (0.72-1.14)","1.27 (1.04-1.55)","0.86 (0.66-1.13)","1.08 (0.78-1.48)","1.95 (1.65-2.31)","0.98 (0.80-1.21)","0.96 (0.76-1.21)","0.89 (0.75-1.07)","naproxen sodium",".",".",".","1.93 (1.62-2.29)",".","1.00 (0.11-8.73)","0.76 (0.64-0.90)",".","."
"0.92 (0.73-1.15)","1.29 (1.06-1.56)","0.87 (0.67-1.14)","1.09 (0.80-1.50)","1.98 (1.69-2.32)","1.00 (0.81-1.23)","0.97 (0.78-1.22)","0.91 (0.76-1.08)","1.01 (0.83-1.24)","naratriptan",".",".","2.32 (1.93-2.80)",".","0.42 (0.28-0.63)","0.58 (0.44-0.75)",".","0.85 (0.56-1.30)"
"0.82 (0.59-1.14)","1.15 (0.84-1.58)","0.78 (0.54-1.12)","0.98 (0.66-1.46)","1.77 (1.32-2.38)","0.89 (0.65-1.23)","0.87 (0.63-1.21)","0.81 (0.60-1.09)","0.91 (0.66-1.25)","0.89 (0.65-1.22)","paracetamol",".","2.26 (1.70-3.00)",".","0.76 (0.33-1.76)",".",".","."
"0.76 (0.42-1.36)","1.06 (0.60-1.89)","0.72 (0.40-1.31)","0.90 (0.48-1.69)","1.63 (0.93-2.87)","0.82 (0.46-1.47)","0.80 (0.45-1.44)","0.75 (0.43-1.32)","0.84 (0.47-1.49)","0.83 (0.46-1.47)","0.92 (0.50-1.72)","phenazone","2.43 (1.39-4.24)",".",".",".",".","."
"1.84 (1.54-2.20)","2.58 (2.24-2.97)","1.75 (1.40-2.19)","2.19 (1.65-2.91)","3.97 (3.63-4.34)","2.00 (1.72-2.33)","1.95 (1.64-2.33)","1.82 (1.65-2.01)","2.04 (1.75-2.36)","2.01 (1.74-2.31)","2.24 (1.69-2.97)","2.43 (1.39-4.24)","placebo","0.57 (0.51-0.63)","0.32 (0.28-0.35)","0.37 (0.35-0.40)","0.67 (0.58-0.77)","0.31 (0.27-0.35)"
"1.04 (0.84-1.28)","1.46 (1.22-1.74)","0.99 (0.77-1.27)","1.24 (0.92-1.68)","2.24 (1.95-2.58)","1.13 (0.94-1.36)","1.10 (0.90-1.36)","1.03 (0.89-1.19)","1.15 (0.96-1.38)","1.13 (0.95-1.36)","1.27 (0.94-1.71)","1.37 (0.78-2.42)","0.57 (0.51-0.63)","rimegepant",".","1.10 (0.61-1.99)",".","."
"0.59 (0.48-0.72)","0.83 (0.70-0.98)","0.56 (0.44-0.72)","0.70 (0.52-0.95)","1.27 (1.12-1.45)","0.64 (0.54-0.77)","0.63 (0.51-0.77)","0.58 (0.51-0.67)","0.65 (0.55-0.78)","0.64 (0.55-0.76)","0.72 (0.54-0.97)","0.78 (0.44-1.37)","0.32 (0.29-0.35)","0.57 (0.49-0.66)","rizatriptan","1.07 (0.90-1.27)",".","1.16 (0.83-1.62)"
"0.66 (0.55-0.80)","0.93 (0.81-1.06)","0.63 (0.50-0.79)","0.79 (0.59-1.05)","1.43 (1.30-1.56)","0.72 (0.61-0.84)","0.70 (0.58-0.84)","0.65 (0.58-0.73)","0.73 (0.63-0.85)","0.72 (0.62-0.83)","0.81 (0.60-1.07)","0.87 (0.50-1.53)","0.36 (0.34-0.38)","0.64 (0.56-0.72)","1.12 (1.01-1.24)","sumatriptan",".","1.01 (0.89-1.14)"
"1.23 (0.98-1.55)","1.73 (1.41-2.12)","1.17 (0.90-1.53)","1.47 (1.07-2.02)","2.66 (2.24-3.15)","1.34 (1.09-1.65)","1.31 (1.04-1.64)","1.22 (1.02-1.45)","1.36 (1.11-1.68)","1.34 (1.10-1.65)","1.50 (1.10-2.06)","1.63 (0.92-2.89)","0.67 (0.58-0.77)","1.19 (0.99-1.42)","2.09 (1.75-2.48)","1.87 (1.60-2.18)","ubrogepant","."
"0.62 (0.51-0.76)","0.87 (0.75-1.01)","0.59 (0.46-0.75)","0.74 (0.55-0.99)","1.34 (1.20-1.49)","0.67 (0.57-0.80)","0.66 (0.54-0.80)","0.61 (0.54-0.70)","0.69 (0.58-0.81)","0.68 (0.58-0.79)","0.75 (0.56-1.01)","0.82 (0.47-1.44)","0.34 (0.31-0.37)","0.60 (0.52-0.68)","1.05 (0.93-1.19)","0.94 (0.86-1.02)","0.50 (0.42-0.59)","zolmitriptan"
