"acetylsalicylic acid",".",".",".",".",".",".",".",".",".",".",".","1.78 (1.40-2.25)",".",".","1.00 (0.57-1.78)",".","."
"0.73 (0.54-1.00)","almotriptan",".",".",".",".",".",".",".",".",".",".","2.44 (1.79-3.34)",".",".","0.92 (0.67-1.27)",".","0.80 (0.52-1.21)"
"1.06 (0.71-1.58)","1.45 (0.98-2.13)","celecoxib",".",".",".",".",".",".",".",".",".","1.75 (1.26-2.43)",".",".",".",".","."
"0.85 (0.52-1.38)","1.16 (0.71-1.88)","0.80 (0.46-1.38)","diclofenac potassium",".",".",".",".",".",".",".",".","2.19 (1.42-3.39)",".",".",".",".","."
"0.46 (0.36-0.60)","0.63 (0.50-0.81)","0.44 (0.31-0.62)","0.55 (0.35-0.86)","eletriptan",".",".",".",".","1.55 (0.94-2.57)",".",".","4.03 (3.46-4.69)",".",".","1.45 (1.17-1.80)",".","1.24 (0.83-1.85)"
"0.91 (0.67-1.25)","1.25 (0.92-1.69)","0.86 (0.58-1.28)","1.08 (0.66-1.76)","1.97 (1.53-2.54)","frovatriptan",".",".",".",".",".",".","2.06 (1.63-2.60)",".",".","0.66 (0.43-1.00)",".","."
"0.94 (0.68-1.31)","1.29 (0.93-1.78)","0.89 (0.59-1.34)","1.11 (0.68-1.83)","2.04 (1.55-2.68)","1.03 (0.74-1.43)","ibuprofen",".",".",".",".",".","1.97 (1.54-2.50)",".",".",".",".","."
"0.98 (0.73-1.32)","1.34 (1.01-1.78)","0.93 (0.64-1.35)","1.16 (0.72-1.86)","2.12 (1.68-2.67)","1.07 (0.80-1.43)","1.04 (0.77-1.41)","lasmiditan",".",".",".",".","1.89 (1.57-2.28)",".",".",".",".","."
"0.89 (0.65-1.22)","1.22 (0.91-1.64)","0.85 (0.57-1.25)","1.06 (0.65-1.72)","1.93 (1.51-2.48)","0.98 (0.72-1.33)","0.95 (0.69-1.31)","0.91 (0.68-1.21)","naproxen sodium",".",".",".","1.96 (1.53-2.51)",".","1.00 (0.11-8.95)","0.78 (0.60-1.01)",".","."
"0.89 (0.67-1.20)","1.22 (0.93-1.61)","0.84 (0.58-1.23)","1.06 (0.66-1.70)","1.93 (1.55-2.40)","0.98 (0.74-1.30)","0.95 (0.70-1.29)","0.91 (0.70-1.19)","1.00 (0.75-1.32)","naratriptan",".",".","2.34 (1.87-2.93)",".","0.42 (0.25-0.71)","0.60 (0.42-0.86)",".","0.85 (0.50-1.45)"
"0.82 (0.54-1.24)","1.12 (0.75-1.68)","0.77 (0.48-1.24)","0.97 (0.56-1.69)","1.77 (1.22-2.56)","0.90 (0.60-1.35)","0.87 (0.57-1.32)","0.83 (0.56-1.24)","0.91 (0.61-1.37)","0.92 (0.62-1.35)","paracetamol",".","2.28 (1.60-3.24)",".","0.76 (0.31-1.88)",".",".","."
"0.76 (0.38-1.52)","1.04 (0.53-2.06)","0.72 (0.35-1.49)","0.90 (0.41-1.97)","1.65 (0.85-3.19)","0.83 (0.42-1.65)","0.81 (0.41-1.62)","0.78 (0.40-1.53)","0.85 (0.43-1.69)","0.85 (0.44-1.68)","0.93 (0.45-1.94)","phenazone","2.43 (1.27-4.64)",".",".",".",".","."
"1.85 (1.47-2.33)","2.53 (2.05-3.13)","1.75 (1.26-2.43)","2.19 (1.42-3.39)","4.00 (3.51-4.57)","2.03 (1.63-2.52)","1.97 (1.54-2.50)","1.89 (1.57-2.28)","2.07 (1.67-2.57)","2.07 (1.72-2.50)","2.26 (1.61-3.20)","2.43 (1.27-4.64)","placebo","0.56 (0.46-0.67)","0.31 (0.27-0.36)","0.37 (0.34-0.41)","0.66 (0.52-0.84)","0.31 (0.26-0.36)"
"1.02 (0.76-1.38)","1.40 (1.05-1.85)","0.97 (0.66-1.41)","1.21 (0.75-1.94)","2.21 (1.76-2.78)","1.12 (0.84-1.49)","1.08 (0.80-1.47)","1.04 (0.80-1.36)","1.14 (0.86-1.52)","1.14 (0.88-1.49)","1.25 (0.84-1.85)","1.34 (0.68-2.63)","0.55 (0.46-0.67)","rimegepant",".","1.10 (0.56-2.17)",".","."
"0.58 (0.45-0.76)","0.80 (0.62-1.02)","0.55 (0.39-0.78)","0.69 (0.44-1.09)","1.26 (1.05-1.51)","0.64 (0.49-0.82)","0.62 (0.47-0.81)","0.59 (0.47-0.75)","0.65 (0.51-0.84)","0.65 (0.52-0.81)","0.71 (0.49-1.02)","0.76 (0.39-1.48)","0.31 (0.27-0.36)","0.57 (0.45-0.72)","rizatriptan","1.09 (0.83-1.43)",".","1.16 (0.73-1.86)"
"0.67 (0.52-0.85)","0.91 (0.74-1.13)","0.63 (0.45-0.88)","0.79 (0.51-1.23)","1.44 (1.25-1.66)","0.73 (0.58-0.92)","0.71 (0.55-0.92)","0.68 (0.55-0.84)","0.75 (0.60-0.93)","0.75 (0.62-0.91)","0.82 (0.57-1.16)","0.88 (0.46-1.68)","0.36 (0.33-0.39)","0.65 (0.53-0.80)","1.15 (0.99-1.33)","sumatriptan",".","1.00 (0.80-1.26)"
"1.22 (0.87-1.70)","1.67 (1.21-2.30)","1.15 (0.77-1.73)","1.44 (0.88-2.37)","2.63 (2.00-3.46)","1.33 (0.96-1.85)","1.29 (0.92-1.82)","1.24 (0.92-1.69)","1.36 (0.99-1.88)","1.36 (1.01-1.85)","1.49 (0.98-2.27)","1.60 (0.80-3.19)","0.66 (0.52-0.84)","1.19 (0.88-1.62)","2.09 (1.59-2.76)","1.82 (1.41-2.36)","ubrogepant","."
"0.61 (0.47-0.79)","0.83 (0.66-1.05)","0.58 (0.41-0.82)","0.72 (0.46-1.14)","1.32 (1.11-1.57)","0.67 (0.52-0.86)","0.65 (0.49-0.85)","0.62 (0.49-0.78)","0.68 (0.53-0.87)","0.68 (0.55-0.85)","0.75 (0.52-1.08)","0.80 (0.41-1.55)","0.33 (0.29-0.38)","0.60 (0.47-0.75)","1.05 (0.88-1.25)","0.91 (0.80-1.05)","0.50 (0.38-0.66)","zolmitriptan"
