"acetylsalicylic acid",".",".",".",".",".",".",".",".",".",".",".","1.77 (1.47-2.12)",".",".","1.00 (0.63-1.60)",".","."
"0.71 (0.57-0.89)","almotriptan",".",".",".",".",".",".",".",".",".",".","2.52 (1.98-3.20)",".",".","0.96 (0.79-1.17)",".","0.80 (0.62-1.03)"
"1.05 (0.79-1.40)","1.48 (1.14-1.93)","celecoxib",".",".",".",".",".",".",".",".",".","1.75 (1.40-2.19)",".",".",".",".","."
"0.84 (0.60-1.17)","1.18 (0.86-1.62)","0.80 (0.56-1.15)","diclofenac potassium",".",".",".",".",".",".",".",".","2.19 (1.65-2.91)",".",".",".",".","."
"0.46 (0.38-0.56)","0.65 (0.55-0.76)","0.44 (0.34-0.56)","0.55 (0.41-0.74)","eletriptan",".",".",".",".","1.55 (1.06-2.27)",".",".","4.17 (3.72-4.67)",".",".","1.41 (1.24-1.60)",".","1.24 (0.99-1.54)"
"0.92 (0.73-1.16)","1.29 (1.06-1.59)","0.87 (0.67-1.15)","1.09 (0.79-1.51)","2.00 (1.68-2.38)","frovatriptan",".",".",".",".",".",".","2.04 (1.72-2.42)",".",".","0.66 (0.51-0.85)",".","."
"0.94 (0.74-1.21)","1.33 (1.06-1.66)","0.90 (0.67-1.19)","1.12 (0.81-1.57)","2.05 (1.68-2.50)","1.03 (0.81-1.29)","ibuprofen",".",".",".",".",".","1.95 (1.64-2.32)",".",".",".",".","."
"1.01 (0.82-1.24)","1.42 (1.20-1.69)","0.96 (0.75-1.23)","1.20 (0.89-1.62)","2.19 (1.92-2.51)","1.10 (0.92-1.32)","1.07 (0.87-1.31)","lasmiditan",".",".",".",".","1.82 (1.65-2.01)",".",".",".",".","."
"0.90 (0.72-1.14)","1.27 (1.04-1.55)","0.86 (0.65-1.12)","1.07 (0.78-1.48)","1.96 (1.66-2.32)","0.98 (0.80-1.21)","0.96 (0.76-1.20)","0.89 (0.75-1.07)","naproxen sodium",".",".",".","1.93 (1.62-2.29)",".","1.00 (0.11-8.73)","0.76 (0.64-0.90)",".","."
"0.91 (0.72-1.14)","1.28 (1.05-1.56)","0.86 (0.66-1.13)","1.08 (0.79-1.49)","1.98 (1.68-2.32)","0.99 (0.80-1.21)","0.96 (0.77-1.21)","0.90 (0.76-1.07)","1.01 (0.82-1.23)","naratriptan",".",".","2.33 (1.94-2.81)",".","0.42 (0.28-0.63)","0.58 (0.45-0.75)",".","0.85 (0.56-1.30)"
"0.82 (0.59-1.14)","1.16 (0.84-1.58)","0.78 (0.54-1.12)","0.98 (0.66-1.45)","1.78 (1.33-2.39)","0.89 (0.65-1.23)","0.87 (0.62-1.21)","0.81 (0.60-1.09)","0.91 (0.66-1.25)","0.90 (0.66-1.24)","paracetamol",".","2.26 (1.70-3.00)",".","0.76 (0.33-1.76)",".",".","."
"0.76 (0.42-1.36)","1.07 (0.60-1.90)","0.72 (0.40-1.31)","0.90 (0.48-1.69)","1.65 (0.94-2.90)","0.82 (0.46-1.47)","0.80 (0.45-1.44)","0.75 (0.43-1.32)","0.84 (0.47-1.50)","0.83 (0.47-1.48)","0.92 (0.50-1.72)","phenazone","2.43 (1.39-4.24)",".",".",".",".","."
"1.84 (1.54-2.20)","2.59 (2.25-2.98)","1.75 (1.40-2.19)","2.19 (1.65-2.91)","4.00 (3.66-4.38)","2.00 (1.72-2.33)","1.95 (1.64-2.32)","1.82 (1.65-2.01)","2.04 (1.76-2.37)","2.03 (1.76-2.34)","2.24 (1.70-2.97)","2.43 (1.39-4.24)","placebo","0.57 (0.51-0.63)","0.31 (0.28-0.35)","0.37 (0.35-0.40)","0.67 (0.58-0.77)","0.30 (0.27-0.35)"
"1.04 (0.85-1.28)","1.47 (1.23-1.75)","0.99 (0.77-1.27)","1.24 (0.92-1.68)","2.26 (1.97-2.60)","1.13 (0.94-1.36)","1.10 (0.90-1.35)","1.03 (0.89-1.19)","1.15 (0.96-1.39)","1.14 (0.96-1.37)","1.27 (0.94-1.71)","1.37 (0.78-2.42)","0.57 (0.51-0.63)","rimegepant",".","1.10 (0.61-1.99)",".","."
"0.59 (0.48-0.72)","0.83 (0.70-0.97)","0.56 (0.44-0.71)","0.70 (0.52-0.94)","1.27 (1.12-1.45)","0.64 (0.53-0.76)","0.62 (0.51-0.76)","0.58 (0.51-0.67)","0.65 (0.55-0.77)","0.65 (0.55-0.76)","0.71 (0.53-0.96)","0.77 (0.44-1.36)","0.32 (0.29-0.35)","0.56 (0.49-0.65)","rizatriptan","1.07 (0.90-1.27)",".","1.16 (0.83-1.62)"
"0.66 (0.55-0.79)","0.93 (0.81-1.06)","0.62 (0.49-0.79)","0.78 (0.59-1.04)","1.43 (1.30-1.57)","0.71 (0.61-0.84)","0.70 (0.58-0.84)","0.65 (0.58-0.73)","0.73 (0.63-0.85)","0.72 (0.63-0.84)","0.80 (0.60-1.07)","0.87 (0.50-1.52)","0.36 (0.34-0.38)","0.63 (0.56-0.71)","1.12 (1.01-1.24)","sumatriptan",".","1.01 (0.89-1.14)"
"1.23 (0.98-1.55)","1.74 (1.42-2.12)","1.17 (0.90-1.53)","1.47 (1.07-2.02)","2.68 (2.26-3.18)","1.34 (1.09-1.65)","1.31 (1.04-1.64)","1.22 (1.03-1.45)","1.37 (1.11-1.68)","1.36 (1.11-1.66)","1.50 (1.10-2.06)","1.63 (0.92-2.89)","0.67 (0.58-0.77)","1.19 (0.99-1.42)","2.10 (1.77-2.50)","1.88 (1.61-2.19)","ubrogepant","."
"0.62 (0.51-0.75)","0.87 (0.75-1.00)","0.59 (0.46-0.75)","0.73 (0.55-0.99)","1.34 (1.20-1.49)","0.67 (0.56-0.80)","0.65 (0.54-0.79)","0.61 (0.53-0.70)","0.68 (0.58-0.81)","0.68 (0.58-0.79)","0.75 (0.56-1.01)","0.81 (0.46-1.43)","0.33 (0.31-0.37)","0.59 (0.52-0.68)","1.05 (0.93-1.19)","0.94 (0.86-1.02)","0.50 (0.42-0.59)","zolmitriptan"
