"acetylsalicylic acid",".",".",".",".",".",".",".",".",".","0.47 (0.34-0.63)",".",".","1.13 (0.64-1.98)","."
"1.01 (0.71-1.44)","almotriptan",".",".",".",".",".",".",".",".","0.48 (0.36-0.65)",".",".","1.18 (0.87-1.61)","0.98 (0.65-1.50)"
"1.06 (0.66-1.70)","1.05 (0.68-1.60)","celecoxib",".",".",".",".",".",".",".","0.44 (0.30-0.64)",".",".",".","."
"1.84 (1.34-2.54)","1.82 (1.43-2.32)","1.74 (1.16-2.59)","eletriptan",".",".",".",".","0.48 (0.27-0.86)",".","0.25 (0.21-0.29)",".",".","0.68 (0.53-0.88)","0.59 (0.39-0.89)"
"1.01 (0.71-1.43)","1.00 (0.75-1.32)","0.95 (0.62-1.45)","0.55 (0.43-0.70)","frovatriptan",".",".",".",".",".","0.45 (0.37-0.56)",".",".","1.18 (0.79-1.78)","."
"0.79 (0.46-1.37)","0.78 (0.47-1.31)","0.75 (0.41-1.36)","0.43 (0.26-0.70)","0.78 (0.47-1.30)","ibuprofen",".",".",".",".","0.59 (0.37-0.94)",".",".",".","."
"1.01 (0.69-1.47)","1.00 (0.73-1.37)","0.95 (0.61-1.48)","0.55 (0.41-0.72)","1.00 (0.73-1.36)","1.27 (0.75-2.16)","lasmiditan",".",".",".","0.46 (0.37-0.59)",".",".",".","."
"0.97 (0.68-1.38)","0.96 (0.72-1.27)","0.91 (0.60-1.40)","0.53 (0.41-0.67)","0.96 (0.72-1.27)","1.22 (0.73-2.04)","0.96 (0.70-1.32)","naproxen sodium",".",".","0.52 (0.41-0.65)",".",".","1.12 (0.87-1.44)","."
"1.02 (0.66-1.59)","1.01 (0.68-1.50)","0.97 (0.58-1.59)","0.56 (0.39-0.79)","1.01 (0.69-1.49)","1.29 (0.73-2.30)","1.01 (0.67-1.53)","1.06 (0.71-1.57)","naratriptan",".","0.33 (0.22-0.51)",".","1.28 (0.78-2.09)",".","."
"1.39 (0.71-2.75)","1.38 (0.72-2.64)","1.32 (0.64-2.70)","0.76 (0.40-1.43)","1.38 (0.72-2.64)","1.76 (0.81-3.82)","1.38 (0.71-2.68)","1.44 (0.75-2.76)","1.36 (0.68-2.75)","paracetamol","0.34 (0.18-0.62)",".",".",".","."
"0.47 (0.35-0.62)","0.46 (0.38-0.57)","0.44 (0.30-0.64)","0.25 (0.22-0.29)","0.46 (0.38-0.56)","0.59 (0.37-0.94)","0.46 (0.37-0.59)","0.48 (0.39-0.60)","0.46 (0.33-0.64)","0.34 (0.18-0.62)","placebo","2.30 (1.89-2.80)","2.20 (1.91-2.53)","2.50 (2.23-2.80)","2.70 (2.15-3.39)"
"1.08 (0.77-1.53)","1.07 (0.81-1.42)","1.02 (0.67-1.56)","0.59 (0.46-0.75)","1.07 (0.81-1.41)","1.37 (0.82-2.27)","1.07 (0.79-1.46)","1.12 (0.84-1.49)","1.06 (0.72-1.56)","0.78 (0.41-1.48)","2.31 (1.90-2.81)","rimegepant",".","0.75 (0.37-1.53)","."
"1.02 (0.75-1.40)","1.01 (0.80-1.28)","0.96 (0.65-1.43)","0.55 (0.46-0.67)","1.01 (0.80-1.28)","1.29 (0.79-2.10)","1.01 (0.77-1.33)","1.06 (0.83-1.35)","1.00 (0.71-1.41)","0.73 (0.39-1.38)","2.18 (1.91-2.49)","0.94 (0.75-1.20)","rizatriptan","1.17 (0.85-1.62)","0.84 (0.54-1.31)"
"1.17 (0.87-1.58)","1.16 (0.94-1.43)","1.10 (0.75-1.62)","0.63 (0.54-0.75)","1.16 (0.93-1.43)","1.48 (0.91-2.39)","1.16 (0.89-1.50)","1.21 (0.98-1.49)","1.14 (0.81-1.62)","0.84 (0.45-1.57)","2.50 (2.25-2.77)","1.08 (0.87-1.34)","1.14 (0.97-1.34)","sumatriptan","."
"1.10 (0.78-1.55)","1.09 (0.85-1.39)","1.04 (0.68-1.58)","0.60 (0.48-0.75)","1.09 (0.83-1.43)","1.39 (0.84-2.30)","1.09 (0.80-1.48)","1.14 (0.86-1.50)","1.07 (0.73-1.57)","0.79 (0.41-1.50)","2.35 (1.95-2.84)","1.02 (0.77-1.33)","1.08 (0.86-1.34)","0.94 (0.76-1.16)","zolmitriptan"
