                           comparisons Number.of.studies   OR lower.CI upper.CI tau.sq I.sq lower.I.sq upper.I.sq
1     acetylsalicylic acid vs  placebo                 3 0.47     0.37     0.60   0.00 0.00       0.00       0.90
2              almotriptan vs  placebo                 3 0.48     0.38     0.60   0.00 0.00       0.00       0.90
3                celecoxib vs  placebo                 2 0.44     0.33     0.60   0.00 0.00         NA         NA
4               eletriptan vs  placebo                10 0.25     0.20     0.30   0.06 0.61       0.22       0.80
5             frovatriptan vs  placebo                 5 0.45     0.38     0.53   0.01 0.34       0.00       0.75
6                ibuprofen vs  placebo                 1 0.59     0.41     0.85     NA   NA         NA         NA
7               lasmiditan vs  placebo                 3 0.45     0.39     0.52   0.00 0.00       0.00       0.90
8          naproxen sodium vs  placebo                 4 0.52     0.44     0.61   0.00 0.00       0.00       0.85
9              naratriptan vs  placebo                 2 0.33     0.19     0.57   0.09 0.56       0.00       0.89
10           naratriptan vs eletriptan                 1 2.08     1.26     3.42     NA   NA         NA         NA
11             paracetamol vs  placebo                 2 0.24     0.06     1.02   0.66 0.49         NA         NA
12              rimegepant vs  placebo                 5 0.44     0.37     0.52   0.01 0.28       0.00       0.72
13             rizatriptan vs  placebo                14 0.45     0.37     0.55   0.08 0.63       0.35       0.79
14          rizatriptan vs naratriptan                 1 0.78     0.53     1.16     NA   NA         NA         NA
15             sumatriptan vs  placebo                19 0.40     0.36     0.45   0.02 0.40       0.00       0.65
16 sumatriptan vs acetylsalicylic acid                 1 0.89     0.55     1.43     NA   NA         NA         NA
17          sumatriptan vs almotriptan                 2 0.85     0.69     1.04   0.00 0.00         NA         NA
18           sumatriptan vs eletriptan                 3 1.46     0.96     2.21   0.10 0.72       0.07       0.92
19         sumatriptan vs frovatriptan                 1 0.84     0.64     1.11     NA   NA         NA         NA
20      sumatriptan vs naproxen sodium                 3 0.89     0.75     1.06   0.00 0.00       0.00       0.90
21           sumatriptan vs rimegepant                 1 1.32     0.70     2.52     NA   NA         NA         NA
22          sumatriptan vs rizatriptan                 2 0.85     0.59     1.22   0.04 0.53       0.00       0.88
23            zolmitriptan vs  placebo                 5 0.37     0.31     0.44   0.00 0.12       0.00       0.82
24         zolmitriptan vs almotriptan                 1 1.02     0.76     1.36     NA   NA         NA         NA
25          zolmitriptan vs eletriptan                 1 1.70     1.27     2.26     NA   NA         NA         NA
26         zolmitriptan vs rizatriptan                 1 1.19     0.86     1.64     NA   NA         NA         NA
    Q.st  p.val
1   0.57 0.7509
2   0.34 0.8437
3   0.17 0.6832
4  23.02 0.0061
5   6.04 0.1962
6   0.00     NA
7   1.56 0.4576
8   2.38 0.4977
9   2.29 0.1302
10  0.00     NA
11  1.97 0.1602
12  5.53 0.2367
13 35.51 0.0007
14  0.00     NA
15 29.80 0.0394
16  0.00     NA
17  0.03 0.8551
18  7.27 0.0264
19  0.00     NA
20  0.67 0.7153
21  0.00     NA
22  2.14 0.1431
23  4.52 0.3399
24  0.00     NA
25  0.00     NA
26  0.00     NA

File created on 2023-05-24.
