"acetylsalicylic acid",".",".",".",".",".",".",".",".",".",".",".","2.34 (1.51-3.62)",".",".","1.04 (0.50-2.15)",".","."
"0.91 (0.56-1.49)","almotriptan",".",".",".",".",".",".",".",".",".",".","2.97 (2.02-4.37)",".",".","0.71 (0.46-1.09)",".","0.82 (0.48-1.41)"
"1.46 (0.82-2.62)","1.60 (0.97-2.64)","celecoxib",".",".",".",".",".",".",".",".",".","1.83 (1.20-2.78)",".",".",".",".","."
"0.94 (0.44-2.01)","1.03 (0.51-2.07)","0.64 (0.30-1.38)","diclofenac potassium",".",".",".",".",".",".",".",".","2.84 (1.50-5.40)",".",".",".",".","."
"0.46 (0.29-0.73)","0.51 (0.36-0.70)","0.32 (0.20-0.50)","0.49 (0.25-0.97)","eletriptan",".",".",".",".","2.04 (1.05-3.97)",".",".","6.04 (4.71-7.75)",".",".","1.59 (1.13-2.23)",".","1.54 (0.89-2.68)"
"0.80 (0.45-1.41)","0.87 (0.54-1.41)","0.55 (0.31-0.97)","0.85 (0.40-1.81)","1.73 (1.11-2.68)","frovatriptan",".",".",".",".",".",".","4.51 (2.85-7.12)",".",".","0.45 (0.24-0.84)",".","."
"1.25 (0.71-2.22)","1.37 (0.84-2.22)","0.86 (0.48-1.53)","1.33 (0.62-2.84)","2.70 (1.72-4.24)","1.57 (0.89-2.75)","ibuprofen",".",".",".",".",".","2.14 (1.43-3.19)",".",".",".",".","."
"1.15 (0.70-1.89)","1.26 (0.86-1.86)","0.79 (0.48-1.30)","1.23 (0.61-2.47)","2.49 (1.77-3.52)","1.45 (0.89-2.34)","0.92 (0.57-1.50)","lasmiditan",".",".",".",".","2.32 (1.76-3.05)",".",".",".",".","."
"1.07 (0.64-1.79)","1.17 (0.78-1.76)","0.73 (0.43-1.24)","1.14 (0.56-2.33)","2.31 (1.60-3.35)","1.34 (0.81-2.21)","0.86 (0.51-1.43)","0.93 (0.61-1.41)","naproxen sodium",".",".",".","2.29 (1.58-3.32)",".",".","0.66 (0.46-0.95)",".","."
"1.54 (0.91-2.59)","1.68 (1.11-2.56)","1.05 (0.62-1.79)","1.64 (0.80-3.36)","3.32 (2.31-4.77)","1.93 (1.16-3.21)","1.23 (0.73-2.07)","1.33 (0.87-2.05)","1.44 (0.92-2.25)","naratriptan",".",".","1.81 (1.17-2.81)",".","0.32 (0.17-0.61)","0.37 (0.20-0.69)",".","."
"1.21 (0.61-2.43)","1.33 (0.71-2.48)","0.83 (0.41-1.67)","1.29 (0.55-3.03)","2.62 (1.44-4.76)","1.52 (0.76-3.02)","0.97 (0.49-1.93)","1.05 (0.56-1.97)","1.13 (0.59-2.16)","0.79 (0.41-1.51)","paracetamol",".","2.11 (1.16-3.86)",".","0.54 (0.20-1.50)",".",".","."
"1.11 (0.43-2.84)","1.21 (0.50-2.96)","0.76 (0.29-1.95)","1.18 (0.41-3.41)","2.39 (1.00-5.73)","1.39 (0.54-3.54)","0.89 (0.35-2.26)","0.96 (0.39-2.34)","1.03 (0.42-2.56)","0.72 (0.29-1.79)","0.91 (0.33-2.53)","phenazone","2.41 (1.03-5.64)",".",".",".",".","."
"2.67 (1.78-4.02)","2.93 (2.23-3.84)","1.83 (1.20-2.78)","2.84 (1.50-5.40)","5.78 (4.70-7.10)","3.35 (2.25-4.98)","2.14 (1.43-3.19)","2.32 (1.76-3.05)","2.50 (1.82-3.43)","1.74 (1.25-2.42)","2.20 (1.26-3.87)","2.41 (1.03-5.64)","placebo","0.52 (0.40-0.68)","0.19 (0.15-0.24)","0.27 (0.23-0.32)","0.51 (0.35-0.73)","0.26 (0.20-0.34)"
