"acetylsalicylic_acid","0.02 (-0.52, 0.55)","-0.36 (-1.02, 0.31)","0.15 (-0.6, 0.91)","0.73 (0.22, 1.23)","0.28 (-0.33, 0.91)","-0.17 (-0.81, 0.48)","-0.14 (-0.7, 0.43)","-0.07 (-0.64, 0.51)","-0.39 (-0.96, 0.18)","-0.26 (-0.95, 0.42)","-0.09 (-1.12, 0.96)","-0.99 (-1.45, -0.53)","-0.3 (-0.86, 0.25)","0.51 (0.01, 1.01)","0.32 (-0.15, 0.79)","-0.23 (-0.84, 0.4)","0.32 (-0.19, 0.82)"
"-0.02 (-0.55, 0.52)","almotriptan","-0.37 (-0.93, 0.19)","0.13 (-0.52, 0.8)","0.71 (0.36, 1.06)","0.27 (-0.22, 0.78)","-0.19 (-0.72, 0.35)","-0.15 (-0.58, 0.28)","-0.08 (-0.53, 0.37)","-0.41 (-0.84, 0.03)","-0.28 (-0.86, 0.3)","-0.1 (-1.07, 0.88)","-1 (-1.29, -0.72)","-0.32 (-0.74, 0.1)","0.49 (0.16, 0.84)","0.31 (0.01, 0.6)","-0.24 (-0.74, 0.28)","0.3 (-0.02, 0.63)"
"0.36 (-0.31, 1.02)","0.37 (-0.19, 0.93)","celecoxib","0.51 (-0.27, 1.28)","1.08 (0.55, 1.61)","0.64 (0.01, 1.28)","0.18 (-0.47, 0.84)","0.22 (-0.36, 0.8)","0.29 (-0.31, 0.89)","-0.03 (-0.62, 0.55)","0.09 (-0.61, 0.79)","0.27 (-0.78, 1.32)","-0.63 (-1.12, -0.16)","0.05 (-0.52, 0.62)","0.87 (0.34, 1.38)","0.68 (0.17, 1.17)","0.13 (-0.51, 0.78)","0.67 (0.15, 1.2)"
"-0.15 (-0.91, 0.6)","-0.13 (-0.8, 0.52)","-0.51 (-1.28, 0.27)","diclofenac_potassium","0.58 (-0.07, 1.21)","0.14 (-0.6, 0.87)","-0.32 (-1.07, 0.43)","-0.28 (-0.98, 0.4)","-0.21 (-0.92, 0.48)","-0.54 (-1.23, 0.15)","-0.41 (-1.2, 0.38)","-0.24 (-1.34, 0.88)","-1.13 (-1.74, -0.54)","-0.45 (-1.13, 0.22)","0.36 (-0.27, 0.99)","0.17 (-0.45, 0.78)","-0.37 (-1.11, 0.36)","0.17 (-0.48, 0.8)"
"-0.73 (-1.23, -0.22)","-0.71 (-1.06, -0.36)","-1.08 (-1.61, -0.55)","-0.58 (-1.21, 0.07)","eletriptan","-0.44 (-0.91, 0.04)","-0.9 (-1.39, -0.39)","-0.86 (-1.26, -0.47)","-0.79 (-1.2, -0.38)","-1.12 (-1.5, -0.74)","-0.99 (-1.54, -0.44)","-0.82 (-1.76, 0.15)","-1.71 (-1.93, -1.5)","-1.03 (-1.41, -0.65)","-0.22 (-0.5, 0.07)","-0.41 (-0.64, -0.17)","-0.95 (-1.42, -0.47)","-0.41 (-0.7, -0.12)"
"-0.28 (-0.91, 0.33)","-0.27 (-0.78, 0.22)","-0.64 (-1.28, -0.01)","-0.14 (-0.87, 0.6)","0.44 (-0.04, 0.91)","frovatriptan","-0.45 (-1.08, 0.16)","-0.42 (-0.96, 0.1)","-0.35 (-0.91, 0.19)","-0.67 (-1.22, -0.14)","-0.55 (-1.21, 0.11)","-0.37 (-1.39, 0.65)","-1.27 (-1.7, -0.86)","-0.59 (-1.12, -0.07)","0.23 (-0.24, 0.68)","0.04 (-0.4, 0.46)","-0.51 (-1.11, 0.08)","0.03 (-0.44, 0.5)"
"0.17 (-0.48, 0.81)","0.19 (-0.35, 0.72)","-0.18 (-0.84, 0.47)","0.32 (-0.43, 1.07)","0.9 (0.39, 1.39)","0.45 (-0.16, 1.08)","ibuprofen","0.04 (-0.53, 0.59)","0.11 (-0.47, 0.67)","-0.22 (-0.79, 0.34)","-0.09 (-0.78, 0.59)","0.08 (-0.95, 1.13)","-0.81 (-1.28, -0.37)","-0.13 (-0.69, 0.41)","0.68 (0.18, 1.17)","0.49 (0.02, 0.96)","-0.05 (-0.67, 0.57)","0.49 (-0.02, 0.98)"
"0.14 (-0.43, 0.7)","0.15 (-0.28, 0.58)","-0.22 (-0.8, 0.36)","0.28 (-0.4, 0.98)","0.86 (0.47, 1.26)","0.42 (-0.1, 0.96)","-0.04 (-0.59, 0.53)","lasmiditan","0.07 (-0.41, 0.55)","-0.25 (-0.73, 0.22)","-0.13 (-0.73, 0.48)","0.05 (-0.93, 1.04)","-0.85 (-1.18, -0.53)","-0.17 (-0.62, 0.29)","0.65 (0.26, 1.03)","0.46 (0.11, 0.81)","-0.09 (-0.62, 0.45)","0.45 (0.06, 0.85)"
"0.07 (-0.51, 0.64)","0.08 (-0.37, 0.53)","-0.29 (-0.89, 0.31)","0.21 (-0.48, 0.92)","0.79 (0.38, 1.2)","0.35 (-0.19, 0.91)","-0.11 (-0.67, 0.47)","-0.07 (-0.55, 0.41)","naproxen_sodium","-0.32 (-0.81, 0.16)","-0.19 (-0.82, 0.43)","-0.02 (-1.01, 0.98)","-0.92 (-1.28, -0.57)","-0.24 (-0.71, 0.23)","0.58 (0.18, 0.98)","0.39 (0.03, 0.74)","-0.16 (-0.71, 0.4)","0.38 (-0.03, 0.79)"
"0.39 (-0.18, 0.96)","0.41 (-0.03, 0.84)","0.03 (-0.55, 0.62)","0.54 (-0.15, 1.23)","1.12 (0.74, 1.5)","0.67 (0.14, 1.22)","0.22 (-0.34, 0.79)","0.25 (-0.22, 0.73)","0.32 (-0.16, 0.81)","naratriptan","0.13 (-0.48, 0.73)","0.3 (-0.68, 1.3)","-0.6 (-0.94, -0.26)","0.09 (-0.37, 0.55)","0.9 (0.53, 1.27)","0.71 (0.36, 1.06)","0.16 (-0.37, 0.71)","0.71 (0.31, 1.1)"
"0.26 (-0.42, 0.95)","0.28 (-0.3, 0.86)","-0.09 (-0.79, 0.61)","0.41 (-0.38, 1.2)","0.99 (0.44, 1.54)","0.55 (-0.11, 1.21)","0.09 (-0.59, 0.78)","0.13 (-0.48, 0.73)","0.19 (-0.43, 0.82)","-0.13 (-0.73, 0.48)","paracetamol","0.17 (-0.89, 1.24)","-0.73 (-1.24, -0.22)","-0.04 (-0.64, 0.56)","0.77 (0.24, 1.31)","0.58 (0.06, 1.11)","0.04 (-0.62, 0.7)","0.58 (0.03, 1.13)"
